Round,Game,Team1,Team2,Rating1,Rating2
1,1,Gonzaga,Georgia State,1871.613355336342,1673.405522501875
1,2,Boise State,Memphis,1777.793259595895,1725.7515286029936
1,3,Connecticut,New Mexico State,1702.8883739779135,1731.7433241024207
1,4,Arkansas,Vermont,1759.959553987984,1704.2071222713562
1,5,Alabama,Notre Dame,1668.3991512260934,1639.2549250253312
1,6,Texas Tech,Montana State,1722.2154971560713,1697.7970764454717
1,7,Michigan State,Davidson,1659.9523506631338,1711.3692810381444
1,8,Duke,Cal State Fullerton,1744.0238438120923,1612.0273679415225
1,9,Baylor,Norfolk State,1794.0738166025005,1652.2399136898039
1,10,North Carolina,Marquette,1711.9468022191795,1609.9708625633557
1,11,Saint Mary's (CA),Indiana,1759.027533250591,1603.977797438155
1,12,UCLA,Akron,1735.5167158794152,1671.8541026086461
1,13,Texas,Virginia Tech,1676.332333737637,1703.0905286426148
1,14,Purdue,Yale,1753.9790228850156,1603.218017205541
1,15,Murray State,San Francisco,1759.101139113453,1666.8975332894838
1,16,Kentucky,Saint Peter's,1725.5669059525305,1602.472477577575
1,17,Arizona,Wright State,1823.6464379964293,1621.3682129844306
1,18,Seton Hall,TCU,1650.8159096976037,1620.8298550979603
1,19,Houston,UAB,1823.5998139226563,1753.3285047871839
1,20,Illinois,Chattanooga,1738.0066435009182,1728.5633733274758
1,21,Colorado State,Michigan,1764.5140925545825,1658.4631704226035
1,22,Tennessee,Longwood,1789.0864077220497,1686.6019978458974
1,23,Ohio State,Loyola (IL),1635.5217377058466,1746.1853353738509
1,24,Villanova,Delaware,1782.8842286317533,1601.1281335899153
1,25,Kansas,Texas Southern,1805.7508038671554,1586.1500201413573
1,26,San Diego State,Creighton,1768.667258456692,1684.5652628849052
1,27,Iowa,Richmond,1748.0412578162607,1675.8018635472274
1,28,Providence,South Dakota State,1718.0139879392227,1758.847183436986
1,29,Louisiana State,Iowa State,1660.9604701264334,1556.9261162130645
1,30,Wisconsin,Colgate,1719.6978643401167,1685.2992617173438
1,31,Southern California,Miami (FL),1731.1678662401619,1643.5995176173647
1,32,Auburn,Jacksonville State,1734.6891331840818,1636.8175262366751
2,1,Gonzaga,Boise State,1871.613355336342,1777.793259595895
2,2,New Mexico State,Arkansas,1731.7433241024207,1759.959553987984
2,3,Alabama,Texas Tech,1668.3991512260934,1722.2154971560713
2,4,Davidson,Duke,1711.3692810381444,1744.0238438120923
2,5,Baylor,North Carolina,1794.0738166025005,1711.9468022191795
2,6,Saint Mary's (CA),UCLA,1759.027533250591,1735.5167158794152
2,7,Virginia Tech,Purdue,1703.0905286426148,1753.9790228850156
2,8,Murray State,Kentucky,1759.101139113453,1725.5669059525305
2,9,Arizona,Seton Hall,1823.6464379964293,1650.8159096976037
2,10,Houston,Illinois,1823.5998139226563,1738.0066435009182
2,11,Colorado State,Tennessee,1764.5140925545825,1789.0864077220497
2,12,Loyola (IL),Villanova,1746.1853353738509,1782.8842286317533
2,13,Kansas,San Diego State,1805.7508038671554,1768.667258456692
2,14,Iowa,South Dakota State,1748.0412578162607,1758.847183436986
2,15,Louisiana State,Wisconsin,1660.9604701264334,1719.6978643401167
2,16,Southern California,Auburn,1731.1678662401619,1734.6891331840818
3,1,Gonzaga,Arkansas,1871.613355336342,1759.959553987984
3,2,Texas Tech,Duke,1722.2154971560713,1744.0238438120923
3,3,Baylor,Saint Mary's (CA),1794.0738166025005,1759.027533250591
3,4,Purdue,Murray State,1753.9790228850156,1759.101139113453
3,5,Arizona,Houston,1823.6464379964293,1823.5998139226563
3,6,Tennessee,Villanova,1789.0864077220497,1782.8842286317533
3,7,Kansas,South Dakota State,1805.7508038671554,1758.847183436986
3,8,Wisconsin,Auburn,1719.6978643401167,1734.6891331840818
4,1,Gonzaga,Duke,1871.613355336342,1744.0238438120923
4,2,Baylor,Murray State,1794.0738166025005,1759.101139113453
4,3,Arizona,Tennessee,1823.6464379964293,1789.0864077220497
4,4,Kansas,Auburn,1805.7508038671554,1734.6891331840818
5,1,Gonzaga,Baylor,1871.613355336342,1794.0738166025005
5,2,Arizona,Kansas,1823.6464379964293,1805.7508038671554
6,1,Gonzaga,Arizona,1871.613355336342,1823.6464379964293
7,1,Gonzaga,No Value,1871.613355336342,No Value
