Round,Game,Team1,Team2,Rating1,Rating2
1,1,Gonzaga,Georgia State,46.70161636315498,19.73002008607117
1,2,Boise State,Memphis,32.91793590134184,34.728591477820856
1,3,Connecticut,New Mexico State,36.53539593351377,23.67776095807617
1,4,Arkansas,Vermont,37.55536156992725,24.910360281889435
1,5,Alabama,Notre Dame,37.905775202941705,30.172263363474883
1,6,Texas Tech,Montana State,38.942999145562,17.74868084166343
1,7,Michigan State,Davidson,32.10135025468266,29.97662996317692
1,8,Duke,Cal State Fullerton,36.87640420055368,17.406611376044626
1,9,Baylor,Norfolk State,43.35466682541321,14.615336969769402
1,10,North Carolina,Marquette,34.57505532520463,30.82417958399731
1,11,Saint Mary's (CA),Indiana,31.87091872670632,33.47795575855697
1,12,UCLA,Akron,36.8767399748228,21.598010215190754
1,13,Texas,Virginia Tech,37.12104382757447,34.46841066143025
1,14,Purdue,Yale,38.576034540205875,19.913584815797524
1,15,Murray State,San Francisco,25.330345492642465,31.05367200142825
1,16,Kentucky,Saint Peter's,37.71288335618444,17.730444079511066
1,17,Arizona,Wright State,39.34296503219626,20.79250597328107
1,18,Seton Hall,TCU,32.72839663121028,28.935142725518162
1,19,Houston,UAB,42.8532047740015,29.036080670942827
1,20,Illinois,Chattanooga,40.59813364714154,22.46230685609751
1,21,Colorado State,Michigan,31.933338955672234,37.47833334665037
1,22,Tennessee,Longwood,39.61733729450937,15.506537052771751
1,23,Ohio State,Loyola (IL),36.73870430837891,33.83318404209708
1,24,Villanova,Delaware,38.60946761091381,18.54831134822174
1,25,Kansas,Texas Southern,39.81298866699406,16.515177764261498
1,26,San Diego State,Creighton,35.27036082225993,33.83842540834891
1,27,Iowa,Richmond,41.047140092838816,28.048957412936346
1,28,Providence,South Dakota State,31.12821072055151,25.243328358900254
1,29,Louisiana State,Iowa State,37.24310485669921,27.38956401475161
1,30,Wisconsin,Colgate,34.76900966723177,23.36425814762337
1,31,Southern California,Miami (FL),35.27229573270119,27.327689905047713
1,32,Auburn,Jacksonville State,36.29820825099617,19.68248697767234
2,1,Gonzaga,Memphis,46.70161636315498,34.728591477820856
2,2,Connecticut,Arkansas,36.53539593351377,37.55536156992725
2,3,Alabama,Texas Tech,37.905775202941705,38.942999145562
2,4,Michigan State,Duke,32.10135025468266,36.87640420055368
2,5,Baylor,North Carolina,43.35466682541321,34.57505532520463
2,6,Indiana,UCLA,33.47795575855697,36.8767399748228
2,7,Texas,Purdue,37.12104382757447,38.576034540205875
2,8,San Francisco,Kentucky,31.05367200142825,37.71288335618444
2,9,Arizona,Seton Hall,39.34296503219626,32.72839663121028
2,10,Houston,Illinois,42.8532047740015,40.59813364714154
2,11,Michigan,Tennessee,37.47833334665037,39.61733729450937
2,12,Ohio State,Villanova,36.73870430837891,38.60946761091381
2,13,Kansas,San Diego State,39.81298866699406,35.27036082225993
2,14,Iowa,Providence,41.047140092838816,31.12821072055151
2,15,Louisiana State,Wisconsin,37.24310485669921,34.76900966723177
2,16,Southern California,Auburn,35.27229573270119,36.29820825099617
3,1,Gonzaga,Arkansas,46.70161636315498,37.55536156992725
3,2,Texas Tech,Duke,38.942999145562,36.87640420055368
3,3,Baylor,UCLA,43.35466682541321,36.8767399748228
3,4,Purdue,Kentucky,38.576034540205875,37.71288335618444
3,5,Arizona,Houston,39.34296503219626,42.8532047740015
3,6,Tennessee,Villanova,39.61733729450937,38.60946761091381
3,7,Kansas,Iowa,39.81298866699406,41.047140092838816
3,8,Louisiana State,Auburn,37.24310485669921,36.29820825099617
4,1,Gonzaga,Texas Tech,46.70161636315498,38.942999145562
4,2,Baylor,Purdue,43.35466682541321,38.576034540205875
4,3,Houston,Tennessee,42.8532047740015,39.61733729450937
4,4,Iowa,Louisiana State,41.047140092838816,37.24310485669921
5,1,Gonzaga,Baylor,46.70161636315498,43.35466682541321
5,2,Houston,Iowa,42.8532047740015,41.047140092838816
6,1,Gonzaga,Houston,46.70161636315498,42.8532047740015
7,1,Gonzaga,No Value,46.70161636315498,No Value
