Round,Game,Team1,Team2,Rating1,Rating2
1,1,Alabama,Texas A&M-Corpus Christi,2537.7761047196295,1849.7349866117268
1,2,Maryland,West Virginia,2057.458732436926,2246.9286372243337
1,3,San Diego State,College of Charleston,2424.2536532705176,2277.236211343627
1,4,Virginia,Furman,2273.6027379527072,2112.9326005953444
1,5,Creighton,NC State,2151.922277562738,2013.598679962399
1,6,Baylor,UC Santa Barbara,2062.609050061272,2083.905258720738
1,7,Missouri,Utah State,2169.6022207635806,2337.3751844816734
1,8,Arizona,Princeton,2398.7928196824832,2105.4627033445518
1,9,Purdue,Fairleigh Dickinson-Florham,2340.362078048115,1385.4420328398385
1,10,Memphis,Florida Atlantic,2435.973749503196,2339.39143416544
1,11,Duke,Oral Roberts,2476.16675261381,2227.317474292484
1,12,Tennessee,Louisiana,2117.877897945589,2140.2314799553887
1,13,Kentucky,Providence,2257.4593572564727,1940.41380999216
1,14,Kansas State,Montana State,2088.026144297698,2057.995819622636
1,15,Michigan State,Southern California,2118.2495179574807,2099.1453873043474
1,16,Marquette,Vermont,2451.6404610916334,2085.923119370762
1,17,Houston,Northern Kentucky,2430.4196108130373,1978.3837442589188
1,18,Iowa,Auburn,2071.163087600238,2135.817326663137
1,19,Miami (FL),Drake,2286.4635988011996,2321.9313544796955
1,20,Indiana,Kent State,2145.2343472786333,2219.7826102195572
1,21,Iowa State,Pittsburgh,2140.8374787393036,2004.741907454202
1,22,Xavier,Kennesaw State,2280.5430684080948,2119.9237811330886
1,23,Texas A&M,Penn State,2358.549367367984,2176.881851663936
1,24,Texas,Colgate,2537.48094706596,2046.9248277230358
1,25,Kansas,Howard,2366.1827910794814,1859.340069706437
1,26,Arkansas,Illinois,2117.819029247028,1982.0905708799642
1,27,Saint Mary's (CA),Virginia Commonwealth,2284.5596517261065,2340.730094471719
1,28,Connecticut,Iona,2371.651479859669,2081.9331207822665
1,29,TCU,Arizona State,2172.0097739992334,2030.7955809283662
1,30,Gonzaga,Grand Canyon,2553.177607311468,2096.196096084895
1,31,Northwestern,Boise State,2059.5400404952215,2155.2180348701622
1,32,UCLA,UNC Asheville,2463.211351245073,2030.818221966961
2,1,Alabama,West Virginia,2537.7761047196295,2246.9286372243337
2,2,San Diego State,Virginia,2424.2536532705176,2273.6027379527072
2,3,Creighton,UC Santa Barbara,2151.922277562738,2083.905258720738
2,4,Utah State,Arizona,2337.3751844816734,2398.7928196824832
2,5,Purdue,Memphis,2340.362078048115,2435.973749503196
2,6,Duke,Louisiana,2476.16675261381,2140.2314799553887
2,7,Kentucky,Kansas State,2257.4593572564727,2088.026144297698
2,8,Michigan State,Marquette,2118.2495179574807,2451.6404610916334
2,9,Houston,Auburn,2430.4196108130373,2135.817326663137
2,10,Drake,Kent State,2321.9313544796955,2219.7826102195572
2,11,Iowa State,Xavier,2140.8374787393036,2280.5430684080948
2,12,Texas A&M,Texas,2358.549367367984,2537.48094706596
2,13,Kansas,Arkansas,2366.1827910794814,2117.819029247028
2,14,Virginia Commonwealth,Connecticut,2340.730094471719,2371.651479859669
2,15,TCU,Gonzaga,2172.0097739992334,2553.177607311468
2,16,Boise State,UCLA,2155.2180348701622,2463.211351245073
3,1,Alabama,San Diego State,2537.7761047196295,2424.2536532705176
3,2,Creighton,Arizona,2151.922277562738,2398.7928196824832
3,3,Memphis,Duke,2435.973749503196,2476.16675261381
3,4,Kentucky,Marquette,2257.4593572564727,2451.6404610916334
3,5,Houston,Drake,2430.4196108130373,2321.9313544796955
3,6,Xavier,Texas,2280.5430684080948,2537.48094706596
3,7,Kansas,Connecticut,2366.1827910794814,2371.651479859669
3,8,Gonzaga,UCLA,2553.177607311468,2463.211351245073
4,1,Alabama,Arizona,2537.7761047196295,2398.7928196824832
4,2,Duke,Marquette,2476.16675261381,2451.6404610916334
4,3,Houston,Texas,2430.4196108130373,2537.48094706596
4,4,Connecticut,Gonzaga,2371.651479859669,2553.177607311468
5,1,Alabama,Duke,2537.7761047196295,2476.16675261381
5,2,Texas,Gonzaga,2537.48094706596,2553.177607311468
6,1,Alabama,Gonzaga,2537.7761047196295,2553.177607311468
7,1,Gonzaga,No Value,2553.177607311468,No Value
