Round,Game,Team1,Team2,Rating1,Rating2
1,1,Alabama,Texas A&M-Corpus Christi,1.1926069386187181,0.5931627986764461
1,2,Maryland,West Virginia,0.9482538374724002,1.0384369650078156
1,3,San Diego State,College of Charleston,1.1654266454079467,0.8629373919195067
1,4,Virginia,Furman,1.0653773790305638,0.8696787454112008
1,5,Creighton,NC State,1.0566177995291053,0.8830368152366033
1,6,Baylor,UC Santa Barbara,1.2159217508038727,0.8751443050240635
1,7,Missouri,Utah State,0.9697586621163333,1.0191763198156951
1,8,Arizona,Princeton,1.1657229880849855,0.8654161162116712
1,9,Purdue,Fairleigh Dickinson-Florham,1.1780315626986766,0.30909441404151855
1,10,Memphis,Florida Atlantic,1.073530492323949,0.9054884658414561
1,11,Duke,Oral Roberts,1.0850434448715518,0.8442639556522887
1,12,Tennessee,Louisiana,1.1308164205466762,0.7962362413082602
1,13,Kentucky,Providence,1.0299272089247038,1.0253126373229509
1,14,Kansas State,Montana State,0.933604482152952,0.8315445293125379
1,15,Michigan State,Southern California,1.028323541599775,1.1092546078045062
1,16,Marquette,Vermont,1.0375472462551125,0.7901015594920553
1,17,Houston,Northern Kentucky,1.208918930285059,0.7074116081652261
1,18,Iowa,Auburn,1.0708387234775094,1.0714505466113007
1,19,Miami (FL),Drake,0.981193886903262,0.9592084729249506
1,20,Indiana,Kent State,0.9911410702599464,0.8884167415650439
1,21,Iowa State,Pittsburgh,0.9162439750348694,0.8349070193716687
1,22,Xavier,Kennesaw State,1.0560363071158567,0.6504712503303943
1,23,Texas A&M,Penn State,1.026446133026699,0.9312859192948391
1,24,Texas,Colgate,1.1472854520993983,0.8141360873908535
1,25,Kansas,Howard,1.2392892508501534,0.6391448895956016
1,26,Arkansas,Illinois,1.1102772410133777,1.1044936511628132
1,27,Saint Mary's (CA),Virginia Commonwealth,1.0983508189475872,1.0430867108287294
1,28,Connecticut,Iona,1.0833238441556157,0.8985310638537856
1,29,TCU,Arizona State,1.0002029289771686,0.9218089259674314
1,30,Gonzaga,Grand Canyon,1.2456378006638893,0.9136508895126686
1,31,Northwestern,Boise State,0.893313993616317,1.0865322895867304
1,32,UCLA,UNC Asheville,1.155278254011564,0.6998751804648186
2,1,Alabama,West Virginia,1.1926069386187181,1.0384369650078156
2,2,San Diego State,Virginia,1.1654266454079467,1.0653773790305638
2,3,Creighton,Baylor,1.0566177995291053,1.2159217508038727
2,4,Utah State,Arizona,1.0191763198156951,1.1657229880849855
2,5,Purdue,Memphis,1.1780315626986766,1.073530492323949
2,6,Duke,Tennessee,1.0850434448715518,1.1308164205466762
2,7,Kentucky,Kansas State,1.0299272089247038,0.933604482152952
2,8,Southern California,Marquette,1.1092546078045062,1.0375472462551125
2,9,Houston,Auburn,1.208918930285059,1.0714505466113007
2,10,Miami (FL),Indiana,0.981193886903262,0.9911410702599464
2,11,Iowa State,Xavier,0.9162439750348694,1.0560363071158567
2,12,Texas A&M,Texas,1.026446133026699,1.1472854520993983
2,13,Kansas,Arkansas,1.2392892508501534,1.1102772410133777
2,14,Saint Mary's (CA),Connecticut,1.0983508189475872,1.0833238441556157
2,15,TCU,Gonzaga,1.0002029289771686,1.2456378006638893
2,16,Boise State,UCLA,1.0865322895867304,1.155278254011564
3,1,Alabama,San Diego State,1.1926069386187181,1.1654266454079467
3,2,Baylor,Arizona,1.2159217508038727,1.1657229880849855
3,3,Purdue,Tennessee,1.1780315626986766,1.1308164205466762
3,4,Kentucky,Southern California,1.0299272089247038,1.1092546078045062
3,5,Houston,Indiana,1.208918930285059,0.9911410702599464
3,6,Xavier,Texas,1.0560363071158567,1.1472854520993983
3,7,Kansas,Saint Mary's (CA),1.2392892508501534,1.0983508189475872
3,8,Gonzaga,UCLA,1.2456378006638893,1.155278254011564
4,1,Alabama,Baylor,1.1926069386187181,1.2159217508038727
4,2,Purdue,Southern California,1.1780315626986766,1.1092546078045062
4,3,Houston,Texas,1.208918930285059,1.1472854520993983
4,4,Kansas,Gonzaga,1.2392892508501534,1.2456378006638893
5,1,Baylor,Purdue,1.2159217508038727,1.1780315626986766
5,2,Houston,Gonzaga,1.208918930285059,1.2456378006638893
6,1,Baylor,Gonzaga,1.2159217508038727,1.2456378006638893
7,1,Gonzaga,No Value,1.2456378006638893,No Value
