Round,Game,Team1,Team2,Rating1,Rating2
1,1,Connecticut,Stetson,0.9858416290572272,0.014158370942772835
1,2,Florida Atlantic,Northwestern,0.8010069776977519,0.19899302230224813
1,3,San Diego State,UAB,0.7742248296048395,0.22577517039516048
1,4,Auburn,Yale,0.9452990475334803,0.05470095246651974
1,5,Brigham Young,Duquesne,0.7310464264979643,0.26895357350203575
1,6,Illinois,Morehead State,0.9452422073197753,0.05475779268022474
1,7,Washington State,Drake,0.5917323604826102,0.40826763951738976
1,8,Iowa State,South Dakota State,0.9620281101062406,0.037971889893759436
1,9,North Carolina,Wagner,0.9822940170162662,0.017705982983733826
1,10,Mississippi State,Michigan State,0.7412792963732633,0.2587207036267367
1,11,Saint Mary's (CA),Grand Canyon,0.8416996473256556,0.1583003526743444
1,12,Alabama,College of Charleston,0.7443876332788406,0.2556123667211594
1,13,Clemson,New Mexico,0.44288640602127327,0.5571135939787267
1,14,Baylor,Colgate,0.9134934598675509,0.08650654013244907
1,15,Dayton,Nevada,0.5160290489957629,0.48397095100423715
1,16,Arizona,Long Beach State,0.9294597240042803,0.07054027599571966
1,17,Houston,Longwood,0.9756852267591647,0.024314773240835308
1,18,Nebraska,Texas A&M,0.6622381672955591,0.33776183270444093
1,19,Wisconsin,James Madison,0.7354371611230942,0.2645628388769058
1,20,Duke,Vermont,0.7965163589645258,0.20348364103547423
1,21,Texas Tech,NC State,0.7456151427186772,0.25438485728132276
1,22,Kentucky,Oakland,0.9393233712359874,0.060676628764012586
1,23,Florida,Colorado,0.7830935663020034,0.21690643369799656
1,24,Marquette,Western Kentucky,0.9099161082449437,0.09008389175505627
1,25,Purdue,Grambling,0.9841412697009551,0.015858730299044943
1,26,Utah State,TCU,0.7520517736826214,0.24794822631737856
1,27,Gonzaga,McNeese State,0.9121595124009705,0.08784048759902952
1,28,Kansas,Samford,0.7837650308018033,0.21623496919819674
1,29,South Carolina,Oregon,0.6470792695021176,0.3529207304978824
1,30,Creighton,Akron,0.945452703282525,0.05454729671747505
1,31,Texas,Colorado State,0.7552764239128258,0.2447235760871742
1,32,Tennessee,Saint Peter's,0.9627742555245009,0.03722574447549909
2,1,Connecticut,Florida Atlantic,0.9858416290572272,0.8010069776977519
2,2,San Diego State,Auburn,0.7742248296048395,0.9452990475334803
2,3,Brigham Young,Illinois,0.7310464264979643,0.9452422073197753
2,4,Washington State,Iowa State,0.5917323604826102,0.9620281101062406
2,5,North Carolina,Mississippi State,0.9822940170162662,0.7412792963732633
2,6,Saint Mary's (CA),Alabama,0.8416996473256556,0.7443876332788406
2,7,New Mexico,Baylor,0.5571135939787267,0.9134934598675509
2,8,Dayton,Arizona,0.5160290489957629,0.9294597240042803
2,9,Houston,Nebraska,0.9756852267591647,0.6622381672955591
2,10,Wisconsin,Duke,0.7354371611230942,0.7965163589645258
2,11,Texas Tech,Kentucky,0.7456151427186772,0.9393233712359874
2,12,Florida,Marquette,0.7830935663020034,0.9099161082449437
2,13,Purdue,Utah State,0.9841412697009551,0.7520517736826214
2,14,Gonzaga,Kansas,0.9121595124009705,0.7837650308018033
2,15,South Carolina,Creighton,0.6470792695021176,0.945452703282525
2,16,Texas,Tennessee,0.7552764239128258,0.9627742555245009
3,1,Connecticut,Auburn,0.9858416290572272,0.9452990475334803
3,2,Illinois,Iowa State,0.9452422073197753,0.9620281101062406
3,3,North Carolina,Saint Mary's (CA),0.9822940170162662,0.8416996473256556
3,4,Baylor,Arizona,0.9134934598675509,0.9294597240042803
3,5,Houston,Duke,0.9756852267591647,0.7965163589645258
3,6,Kentucky,Marquette,0.9393233712359874,0.9099161082449437
3,7,Purdue,Gonzaga,0.9841412697009551,0.9121595124009705
3,8,Creighton,Tennessee,0.945452703282525,0.9627742555245009
4,1,Connecticut,Iowa State,0.9858416290572272,0.9620281101062406
4,2,North Carolina,Arizona,0.9822940170162662,0.9294597240042803
4,3,Houston,Kentucky,0.9756852267591647,0.9393233712359874
4,4,Purdue,Tennessee,0.9841412697009551,0.9627742555245009
5,1,Connecticut,North Carolina,0.9858416290572272,0.9822940170162662
5,2,Houston,Purdue,0.9756852267591647,0.9841412697009551
6,1,Connecticut,Purdue,0.9858416290572272,0.9841412697009551
7,1,Connecticut,No Value,0.9858416290572272,No Value
