Round,Game,Team1,Team2,Rating1,Rating2
1,1,Auburn,Alabama State,0.9743196,0.02568042278289795
1,2,Louisville,Creighton,0.7759816,0.224018394947052
1,3,Michigan,UC San Diego,0.91401654,0.08598345518112183
1,4,Texas A&M,Yale,0.6647183,0.33528172969818115
1,5,Mississippi,North Carolina,0.73162836,0.2683716416358948
1,6,Iowa State,Lipscomb,0.96626884,0.033731162548065186
1,7,Marquette,New Mexico,0.6984316,0.3015683889389038
1,8,Michigan State,Bryant,0.9965215,0.003478527069091797
1,9,Florida,Norfolk State,0.9969343,0.0030657052993774414
1,10,Connecticut,Oklahoma,0.7834155,0.21658450365066528
1,11,Memphis,Colorado State,0.5448792,0.4551208019256592
1,12,Maryland,Grand Canyon,0.92442185,0.07557815313339233
1,13,Missouri,Drake,0.6157419,0.38425809144973755
1,14,Texas Tech,UNC Wilmington,0.9341927,0.0658072829246521
1,15,Kansas,Arkansas,0.66065204,0.3393479585647583
1,16,St. John's (NY),Omaha,0.9952793,0.0047206878662109375
1,17,Duke,Mount Saint Mary (NY),0.9922253,0.007774710655212402
1,18,Mississippi State,Baylor,0.6296871,0.3703129291534424
1,19,Oregon,Liberty,0.7759686,0.22403138875961304
1,20,Arizona,Akron,0.92680657,0.07319343090057373
1,21,Brigham Young,Virginia Commonwealth,0.7636086,0.23639142513275146
1,22,Wisconsin,Montana,0.9598558,0.04014420509338379
1,23,Saint Mary's (CA),Vanderbilt,0.923156,0.0768439769744873
1,24,Alabama,Robert Morris,0.9790348,0.020965218544006348
1,25,Houston,Southern Illinois-Edwardsville,0.99105436,0.008945643901824951
1,26,Gonzaga,Georgia,0.94554245,0.05445754528045654
1,27,Clemson,McNeese State,0.92711735,0.07288265228271484
1,28,Purdue,High Point,0.8781633,0.12183672189712524
1,29,Illinois,Xavier,0.77782357,0.2221764326095581
1,30,Kentucky,Troy,0.92013764,0.07986235618591309
1,31,UCLA,Utah State,0.736764,0.26323598623275757
1,32,Tennessee,Wofford,0.98727036,0.012729644775390625
2,1,Auburn,Louisville,0.9743196,0.7759816
2,2,Michigan,Texas A&M,0.91401654,0.6647183
2,3,Mississippi,Iowa State,0.73162836,0.96626884
2,4,Marquette,Michigan State,0.6984316,0.9965215
2,5,Florida,Connecticut,0.9969343,0.7834155
2,6,Memphis,Maryland,0.5448792,0.92442185
2,7,Missouri,Texas Tech,0.6157419,0.9341927
2,8,Kansas,St. John's (NY),0.66065204,0.9952793
2,9,Duke,Mississippi State,0.9922253,0.6296871
2,10,Oregon,Arizona,0.7759686,0.92680657
2,11,Brigham Young,Wisconsin,0.7636086,0.9598558
2,12,Saint Mary's (CA),Alabama,0.923156,0.9790348
2,13,Houston,Gonzaga,0.99105436,0.94554245
2,14,Clemson,Purdue,0.92711735,0.8781633
2,15,Illinois,Kentucky,0.77782357,0.92013764
2,16,UCLA,Tennessee,0.736764,0.98727036
3,1,Auburn,Michigan,0.9743196,0.91401654
3,2,Iowa State,Michigan State,0.96626884,0.9965215
3,3,Florida,Maryland,0.9969343,0.92442185
3,4,Texas Tech,St. John's (NY),0.9341927,0.9952793
3,5,Duke,Arizona,0.9922253,0.92680657
3,6,Wisconsin,Alabama,0.9598558,0.9790348
3,7,Houston,Clemson,0.99105436,0.92711735
3,8,Kentucky,Tennessee,0.92013764,0.98727036
4,1,Auburn,Michigan State,0.9743196,0.9965215
4,2,Florida,St. John's (NY),0.9969343,0.9952793
4,3,Duke,Alabama,0.9922253,0.9790348
4,4,Houston,Tennessee,0.99105436,0.98727036
5,1,Michigan State,Florida,0.9965215,0.9969343
5,2,Duke,Houston,0.9922253,0.99105436
6,1,Florida,Duke,0.9969343,0.9922253
7,1,Florida,No Value,0.9969343,No Value
