Round,Game,Team1,Team2,Rating1,Rating2
1,1,Gonzaga,Norfolk State,2269.9399842742964,1699.9912557837267
1,2,Oklahoma,Missouri,1678.5073885572313,1661.6079419633966
1,3,Creighton,UC Santa Barbara,1797.1621157231355,2013.053805848874
1,4,Virginia,Ohio,1887.0621129726396,2015.1167664154225
1,5,Southern California,Drake,1867.656901369908,1785.2485196779628
1,6,Kansas,Eastern Washington,2008.326395161104,1974.6644222412265
1,7,Oregon,Virginia Commonwealth,1911.465070959991,1851.733024051427
1,8,Iowa,Grand Canyon,2009.1396556486377,1965.8974865099763
1,9,Michigan,Texas Southern,2015.7301560880767,1841.5081596033745
1,10,Louisiana State,St. Bonaventure,1987.6140903647738,2017.6531881750307
1,11,Colorado,Georgetown,2021.9551869290215,1988.1823386666877
1,12,Florida State,UNC Greensboro,1778.0784817223926,1982.3177118742374
1,13,Brigham Young,UCLA,1992.260924283693,1691.8992626774404
1,14,Texas,Abilene Christian,1944.3137274172993,2001.028650255142
1,15,Connecticut,Maryland,1912.0384336805555,1821.325131376269
1,16,Alabama,Iona,2078.923218351047,1788.197527309417
1,17,Baylor,Hartford,2048.8191723591103,1744.30177621175
1,18,North Carolina,Wisconsin,1890.7025946341653,1690.2944166664977
1,19,Villanova,Winthrop,1795.179437720984,1997.4985587409474
1,20,Purdue,North Texas,1847.5341402245808,1958.4386697383657
1,21,Texas Tech,Utah State,1787.2736854682307,2013.77826069424
1,22,Arkansas,Colgate,2016.0398023389623,1979.6049976308007
1,23,Florida,Virginia Tech,1682.206057053211,1671.16483284986
1,24,Ohio State,Oral Roberts,1952.7127727542054,1744.67511471022
1,25,Illinois,Drexel,2232.077814723264,1767.251758609994
1,26,Loyola (IL),Georgia Tech,2106.484237015145,1985.6185434030672
1,27,Tennessee,Oregon State,1821.966641232565,1980.671183549912
1,28,Oklahoma State,Liberty,1994.3407400195545,2005.19669739292
1,29,San Diego State,Syracuse,2220.3247018665265,1853.2766758203284
1,30,West Virginia,Morehead State,1819.0178962463317,2022.637625004213
1,31,Clemson,Rutgers,1720.9020051322784,1658.1254688937142
1,32,Houston,Cleveland State,2128.473837662044,1777.2013439620139
2,1,Gonzaga,Oklahoma,2269.9399842742964,1678.5073885572313
2,2,UC Santa Barbara,Ohio,2013.053805848874,2015.1167664154225
2,3,Southern California,Kansas,1867.656901369908,2008.326395161104
2,4,Oregon,Iowa,1911.465070959991,2009.1396556486377
2,5,Michigan,St. Bonaventure,2015.7301560880767,2017.6531881750307
2,6,Colorado,UNC Greensboro,2021.9551869290215,1982.3177118742374
2,7,Brigham Young,Abilene Christian,1992.260924283693,2001.028650255142
2,8,Connecticut,Alabama,1912.0384336805555,2078.923218351047
2,9,Baylor,North Carolina,2048.8191723591103,1890.7025946341653
2,10,Winthrop,North Texas,1997.4985587409474,1958.4386697383657
2,11,Utah State,Arkansas,2013.77826069424,2016.0398023389623
2,12,Florida,Ohio State,1682.206057053211,1952.7127727542054
2,13,Illinois,Loyola (IL),2232.077814723264,2106.484237015145
2,14,Oregon State,Liberty,1980.671183549912,2005.19669739292
2,15,San Diego State,Morehead State,2220.3247018665265,2022.637625004213
2,16,Clemson,Houston,1720.9020051322784,2128.473837662044
3,1,Gonzaga,Ohio,2269.9399842742964,2015.1167664154225
3,2,Kansas,Iowa,2008.326395161104,2009.1396556486377
3,3,St. Bonaventure,Colorado,2017.6531881750307,2021.9551869290215
3,4,Abilene Christian,Alabama,2001.028650255142,2078.923218351047
3,5,Baylor,Winthrop,2048.8191723591103,1997.4985587409474
3,6,Arkansas,Ohio State,2016.0398023389623,1952.7127727542054
3,7,Illinois,Liberty,2232.077814723264,2005.19669739292
3,8,San Diego State,Houston,2220.3247018665265,2128.473837662044
4,1,Gonzaga,Iowa,2269.9399842742964,2009.1396556486377
4,2,Colorado,Alabama,2021.9551869290215,2078.923218351047
4,3,Baylor,Arkansas,2048.8191723591103,2016.0398023389623
4,4,Illinois,San Diego State,2232.077814723264,2220.3247018665265
5,1,Gonzaga,Alabama,2269.9399842742964,2078.923218351047
5,2,Baylor,Illinois,2048.8191723591103,2232.077814723264
6,1,Gonzaga,Illinois,2269.9399842742964,2232.077814723264
7,1,Gonzaga,No Value,2269.9399842742964,No Value
