Round,Game,Team1,Team2,Rating1,Rating2
1,1,Gonzaga,Norfolk State,1,16
1,2,Oklahoma,Missouri,8,9
1,3,Creighton,UC Santa Barbara,5,12
1,4,Virginia,Ohio,4,13
1,5,Southern California,Drake,6,11
1,6,Kansas,Eastern Washington,3,14
1,7,Oregon,Virginia Commonwealth,7,10
1,8,Iowa,Grand Canyon,2,15
1,9,Michigan,Texas Southern,1,16
1,10,Louisiana State,St. Bonaventure,8,9
1,11,Colorado,Georgetown,5,12
1,12,Florida State,UNC Greensboro,4,13
1,13,Brigham Young,UCLA,6,11
1,14,Texas,Abilene Christian,3,14
1,15,Connecticut,Maryland,7,10
1,16,Alabama,Iona,2,15
1,17,Baylor,Hartford,1,16
1,18,North Carolina,Wisconsin,8,9
1,19,Villanova,Winthrop,5,12
1,20,Purdue,North Texas,4,13
1,21,Texas Tech,Utah State,6,11
1,22,Arkansas,Colgate,3,14
1,23,Florida,Virginia Tech,7,10
1,24,Ohio State,Oral Roberts,2,15
1,25,Illinois,Drexel,1,16
1,26,Loyola (IL),Georgia Tech,8,9
1,27,Tennessee,Oregon State,5,12
1,28,Oklahoma State,Liberty,4,13
1,29,San Diego State,Syracuse,6,11
1,30,West Virginia,Morehead State,3,14
1,31,Clemson,Rutgers,7,10
1,32,Houston,Cleveland State,2,15
2,1,Gonzaga,Oklahoma,1,8
2,2,Creighton,Virginia,5,4
2,3,Southern California,Kansas,6,3
2,4,Oregon,Iowa,7,2
2,5,Michigan,Louisiana State,1,8
2,6,Colorado,Florida State,5,4
2,7,Brigham Young,Texas,6,3
2,8,Connecticut,Alabama,7,2
2,9,Baylor,North Carolina,1,8
2,10,Villanova,Purdue,5,4
2,11,Texas Tech,Arkansas,6,3
2,12,Florida,Ohio State,7,2
2,13,Illinois,Loyola (IL),1,8
2,14,Tennessee,Oklahoma State,5,4
2,15,San Diego State,West Virginia,6,3
2,16,Clemson,Houston,7,2
3,1,Gonzaga,Virginia,1,4
3,2,Kansas,Iowa,3,2
3,3,Michigan,Florida State,1,4
3,4,Texas,Alabama,3,2
3,5,Baylor,Purdue,1,4
3,6,Arkansas,Ohio State,3,2
3,7,Illinois,Oklahoma State,1,4
3,8,West Virginia,Houston,3,2
4,1,Gonzaga,Iowa,1,2
4,2,Michigan,Alabama,1,2
4,3,Baylor,Ohio State,1,2
4,4,Illinois,Houston,1,2
5,1,Gonzaga,Michigan,1,1
5,2,Baylor,Illinois,1,1
6,1,Gonzaga,Baylor,1,1
7,1,Gonzaga,No Value,1,No Value
