Round,Game,Team1,Team2,Rating1,Rating2
1,1,Gonzaga,Norfolk State,1.8059168534398753,1.2631134713196244
1,2,Oklahoma,Missouri,1.4345730310829758,1.4891157617739412
1,3,Creighton,UC Santa Barbara,1.496948264963636,1.500378681278569
1,4,Virginia,Ohio,1.5379815497294897,1.404079146284437
1,5,Southern California,Drake,1.5826936140805499,1.4931178696145069
1,6,Kansas,Eastern Washington,1.5810465538432403,1.3700746082495034
1,7,Oregon,Virginia Commonwealth,1.5619038206811668,1.5033156797270217
1,8,Iowa,Grand Canyon,1.5851017163223162,1.3732947914745288
1,9,Michigan,Texas Southern,1.674530220326349,1.286348654990266
1,10,Louisiana State,St. Bonaventure,1.5421955057611099,1.5435833793844145
1,11,Colorado,Georgetown,1.5634109942477232,1.4253168423404174
1,12,Florida State,UNC Greensboro,1.514883987338568,1.4506105278100754
1,13,Brigham Young,UCLA,1.611138294438114,1.4616096018058071
1,14,Texas,Abilene Christian,1.5950400686143227,1.415444003959262
1,15,Connecticut,Maryland,1.4965553988263487,1.4412670363424698
1,16,Alabama,Iona,1.6717725162707002,1.2813504808703562
1,17,Baylor,Hartford,1.700155035641997,0.6798473396077495
1,18,North Carolina,Wisconsin,1.4897119405723913,1.4342967645892075
1,19,Villanova,Winthrop,1.5238462136181123,1.4712944630763842
1,20,Purdue,North Texas,1.5265054815878725,1.423670306074157
1,21,Texas Tech,Utah State,1.4764417622367585,1.4983779274498183
1,22,Arkansas,Colgate,1.612249510648946,1.5217227958782527
1,23,Florida,Virginia Tech,1.434618298136653,1.4531803642794658
1,24,Ohio State,Oral Roberts,1.5950833435807394,1.2512943681402402
1,25,Illinois,Drexel,1.6927432462412448,1.270663406302012
1,26,Loyola (IL),Georgia Tech,1.5650834495289583,1.512383172317191
1,27,Tennessee,Oregon State,1.5140434697292775,1.4454970738419082
1,28,Oklahoma State,Liberty,1.6050845452116356,1.4076082092297952
1,29,San Diego State,Syracuse,1.6520038818130327,1.4496095949815375
1,30,West Virginia,Morehead State,1.5473323804697812,1.4229929507757986
1,31,Clemson,Rutgers,1.4977207008121436,1.4355579859524634
1,32,Houston,Cleveland State,1.6639983417119317,1.3413118665416128
2,1,Gonzaga,Missouri,1.8059168534398753,1.4891157617739412
2,2,UC Santa Barbara,Virginia,1.500378681278569,1.5379815497294897
2,3,Southern California,Kansas,1.5826936140805499,1.5810465538432403
2,4,Oregon,Iowa,1.5619038206811668,1.5851017163223162
2,5,Michigan,St. Bonaventure,1.674530220326349,1.5435833793844145
2,6,Colorado,Florida State,1.5634109942477232,1.514883987338568
2,7,Brigham Young,Texas,1.611138294438114,1.5950400686143227
2,8,Connecticut,Alabama,1.4965553988263487,1.6717725162707002
2,9,Baylor,North Carolina,1.700155035641997,1.4897119405723913
2,10,Villanova,Purdue,1.5238462136181123,1.5265054815878725
2,11,Utah State,Arkansas,1.4983779274498183,1.612249510648946
2,12,Virginia Tech,Ohio State,1.4531803642794658,1.5950833435807394
2,13,Illinois,Loyola (IL),1.6927432462412448,1.5650834495289583
2,14,Tennessee,Oklahoma State,1.5140434697292775,1.6050845452116356
2,15,San Diego State,West Virginia,1.6520038818130327,1.5473323804697812
2,16,Clemson,Houston,1.4977207008121436,1.6639983417119317
3,1,Gonzaga,Virginia,1.8059168534398753,1.5379815497294897
3,2,Southern California,Iowa,1.5826936140805499,1.5851017163223162
3,3,Michigan,Colorado,1.674530220326349,1.5634109942477232
3,4,Brigham Young,Alabama,1.611138294438114,1.6717725162707002
3,5,Baylor,Purdue,1.700155035641997,1.5265054815878725
3,6,Arkansas,Ohio State,1.612249510648946,1.5950833435807394
3,7,Illinois,Oklahoma State,1.6927432462412448,1.6050845452116356
3,8,San Diego State,Houston,1.6520038818130327,1.6639983417119317
4,1,Gonzaga,Iowa,1.8059168534398753,1.5851017163223162
4,2,Michigan,Alabama,1.674530220326349,1.6717725162707002
4,3,Baylor,Arkansas,1.700155035641997,1.612249510648946
4,4,Illinois,Houston,1.6927432462412448,1.6639983417119317
5,1,Gonzaga,Michigan,1.8059168534398753,1.674530220326349
5,2,Baylor,Illinois,1.700155035641997,1.6927432462412448
6,1,Gonzaga,Baylor,1.8059168534398753,1.700155035641997
7,1,Gonzaga,No Value,1.8059168534398753,No Value
