Round,Game,Team1,Team2,Rating1,Rating2
1,1,Gonzaga,Georgia State,1.10236928092711,0.7192032758845632
1,2,Boise State,Memphis,1.0269610125251278,0.9203662365680153
1,3,Connecticut,New Mexico State,0.9859038568102392,0.9468193332840698
1,4,Arkansas,Vermont,1.0208726529147,0.8234103388088032
1,5,Alabama,Notre Dame,0.950450142016529,0.8869822910853271
1,6,Texas Tech,Montana State,0.9998517230284829,0.8292019600544427
1,7,Michigan State,Davidson,0.949788799464754,0.9527060280659261
1,8,Duke,Cal State Fullerton,1.0415954126464484,0.740355686854158
1,9,Baylor,Norfolk State,1.085017827438211,0.7214344972327649
1,10,North Carolina,Marquette,0.9613309518562655,0.9151489732996181
1,11,Saint Mary's (CA),Indiana,1.0259120116331364,0.8666218229008181
1,12,UCLA,Akron,1.0593950629457327,0.7746843346145666
1,13,Texas,Virginia Tech,0.9246995030839081,0.8801750241146178
1,14,Purdue,Yale,1.0618609174627318,0.7253532054087453
1,15,Murray State,San Francisco,0.9830051644648878,0.9665351195920775
1,16,Kentucky,Saint Peter's,1.0557880618688356,0.686961783050569
1,17,Arizona,Wright State,1.146049248932415,0.628828119779493
1,18,Seton Hall,TCU,0.9384125841981423,0.9063199969278422
1,19,Houston,UAB,1.0677870865287051,0.9083147832553251
1,20,Illinois,Chattanooga,0.9846245853610367,0.9113709093111882
1,21,Colorado State,Michigan,1.0549682687433208,0.8761690153842968
1,22,Tennessee,Longwood,1.0931069603083081,0.7884906336831844
1,23,Ohio State,Loyola (IL),0.9083109442126714,0.9197084203601666
1,24,Villanova,Delaware,1.0888387439189116,0.7601833419989106
1,25,Kansas,Texas Southern,1.1355511653109407,0.5929111722595382
1,26,San Diego State,Creighton,1.010346001798494,0.9517749459449292
1,27,Iowa,Richmond,0.9894017949950635,0.8598938293742704
1,28,Providence,South Dakota State,1.0755791372639256,0.9360529008796163
1,29,Louisiana State,Iowa State,0.9552946458107664,0.8899802657763938
1,30,Wisconsin,Colgate,1.0447301660634833,0.6499203770006227
1,31,Southern California,Miami (FL),1.0040531701255244,0.9165473031871793
1,32,Auburn,Jacksonville State,1.103190025050769,0.7194389715127835
2,1,Gonzaga,Boise State,1.10236928092711,1.0269610125251278
2,2,Connecticut,Arkansas,0.9859038568102392,1.0208726529147
2,3,Alabama,Texas Tech,0.950450142016529,0.9998517230284829
2,4,Davidson,Duke,0.9527060280659261,1.0415954126464484
2,5,Baylor,North Carolina,1.085017827438211,0.9613309518562655
2,6,Saint Mary's (CA),UCLA,1.0259120116331364,1.0593950629457327
2,7,Texas,Purdue,0.9246995030839081,1.0618609174627318
2,8,Murray State,Kentucky,0.9830051644648878,1.0557880618688356
2,9,Arizona,Seton Hall,1.146049248932415,0.9384125841981423
2,10,Houston,Illinois,1.0677870865287051,0.9846245853610367
2,11,Colorado State,Tennessee,1.0549682687433208,1.0931069603083081
2,12,Loyola (IL),Villanova,0.9197084203601666,1.0888387439189116
2,13,Kansas,San Diego State,1.1355511653109407,1.010346001798494
2,14,Iowa,Providence,0.9894017949950635,1.0755791372639256
2,15,Louisiana State,Wisconsin,0.9552946458107664,1.0447301660634833
2,16,Southern California,Auburn,1.0040531701255244,1.103190025050769
3,1,Gonzaga,Arkansas,1.10236928092711,1.0208726529147
3,2,Texas Tech,Duke,0.9998517230284829,1.0415954126464484
3,3,Baylor,UCLA,1.085017827438211,1.0593950629457327
3,4,Purdue,Kentucky,1.0618609174627318,1.0557880618688356
3,5,Arizona,Houston,1.146049248932415,1.0677870865287051
3,6,Tennessee,Villanova,1.0931069603083081,1.0888387439189116
3,7,Kansas,Providence,1.1355511653109407,1.0755791372639256
3,8,Wisconsin,Auburn,1.0447301660634833,1.103190025050769
4,1,Gonzaga,Duke,1.10236928092711,1.0415954126464484
4,2,Baylor,Purdue,1.085017827438211,1.0618609174627318
4,3,Arizona,Tennessee,1.146049248932415,1.0931069603083081
4,4,Kansas,Auburn,1.1355511653109407,1.103190025050769
5,1,Gonzaga,Baylor,1.10236928092711,1.085017827438211
5,2,Arizona,Kansas,1.146049248932415,1.1355511653109407
6,1,Gonzaga,Arizona,1.10236928092711,1.146049248932415
7,1,Arizona,No Value,1.146049248932415,No Value
