Round,Game,Team1,Team2,Rating1,Rating2
1,1,Alabama,Texas A&M-Corpus Christi,1752.368191267296,1625.6601623689198
1,2,Maryland,West Virginia,1587.7434355740386,1596.1815883663369
1,3,San Diego State,College of Charleston,1737.2753691739372,1740.7806919378706
1,4,Virginia,Furman,1674.843829909472,1689.4766062609388
1,5,Creighton,NC State,1614.9868477687712,1622.2561725774494
1,6,Baylor,UC Santa Barbara,1637.3281666728312,1676.5857402270858
1,7,Missouri,Utah State,1654.5604656775733,1689.2710799799845
1,8,Arizona,Princeton,1713.7664283620154,1640.2002219749004
1,9,Purdue,Fairleigh Dickinson-Florham,1721.4334621570865,1484.4606962033604
1,10,Memphis,Florida Atlantic,1703.601318696552,1764.6369351708775
1,11,Duke,Oral Roberts,1714.5647071604892,1746.8939438232935
1,12,Tennessee,Louisiana,1624.236966076521,1682.3197180465172
1,13,Kentucky,Providence,1627.343112305916,1581.7747102664723
1,14,Kansas State,Montana State,1634.8412077212292,1663.5281200058432
1,15,Michigan State,Southern California,1589.2184179067942,1624.392304395533
1,16,Marquette,Vermont,1740.5052464335786,1662.0870260644006
1,17,Houston,Northern Kentucky,1763.408273438499,1610.7053304769663
1,18,Iowa,Auburn,1574.5261488754234,1583.1360645568047
1,19,Miami (FL),Drake,1681.8047268909186,1709.7833127798433
1,20,Indiana,Kent State,1632.9554111853315,1707.95079302366
1,21,Iowa State,Pittsburgh,1580.818009488907,1607.5695415829443
1,22,Xavier,Kennesaw State,1660.1222315696493,1691.1398391331725
1,23,Texas A&M,Penn State,1701.4654894126925,1619.3008276616172
1,24,Texas,Colgate,1704.7935577084493,1679.7645947160395
1,25,Kansas,Howard,1718.490985633717,1609.032569357309
1,26,Arkansas,Illinois,1586.9512322591575,1580.9207772135057
1,27,Saint Mary's (CA),Virginia Commonwealth,1694.1425208723356,1717.3905681170452
1,28,Connecticut,Iona,1666.8600136627158,1690.3344540477005
1,29,TCU,Arizona State,1602.0186378378648,1591.0638378545032
1,30,Gonzaga,Grand Canyon,1751.00642296465,1646.6577528860264
1,31,Northwestern,Boise State,1600.9347226483876,1658.9870324409603
1,32,UCLA,UNC Asheville,1741.0128813604776,1685.2013602769625
2,1,Alabama,West Virginia,1752.368191267296,1596.1815883663369
2,2,College of Charleston,Furman,1740.7806919378706,1689.4766062609388
2,3,NC State,UC Santa Barbara,1622.2561725774494,1676.5857402270858
2,4,Utah State,Arizona,1689.2710799799845,1713.7664283620154
2,5,Purdue,Florida Atlantic,1721.4334621570865,1764.6369351708775
2,6,Oral Roberts,Louisiana,1746.8939438232935,1682.3197180465172
2,7,Kentucky,Montana State,1627.343112305916,1663.5281200058432
2,8,Southern California,Marquette,1624.392304395533,1740.5052464335786
2,9,Houston,Auburn,1763.408273438499,1583.1360645568047
2,10,Drake,Kent State,1709.7833127798433,1707.95079302366
2,11,Pittsburgh,Kennesaw State,1607.5695415829443,1691.1398391331725
2,12,Texas A&M,Texas,1701.4654894126925,1704.7935577084493
2,13,Kansas,Arkansas,1718.490985633717,1586.9512322591575
2,14,Virginia Commonwealth,Iona,1717.3905681170452,1690.3344540477005
2,15,TCU,Gonzaga,1602.0186378378648,1751.00642296465
2,16,Boise State,UCLA,1658.9870324409603,1741.0128813604776
3,1,Alabama,College of Charleston,1752.368191267296,1740.7806919378706
3,2,UC Santa Barbara,Arizona,1676.5857402270858,1713.7664283620154
3,3,Florida Atlantic,Oral Roberts,1764.6369351708775,1746.8939438232935
3,4,Montana State,Marquette,1663.5281200058432,1740.5052464335786
3,5,Houston,Drake,1763.408273438499,1709.7833127798433
3,6,Kennesaw State,Texas,1691.1398391331725,1704.7935577084493
3,7,Kansas,Virginia Commonwealth,1718.490985633717,1717.3905681170452
3,8,Gonzaga,UCLA,1751.00642296465,1741.0128813604776
4,1,Alabama,Arizona,1752.368191267296,1713.7664283620154
4,2,Florida Atlantic,Marquette,1764.6369351708775,1740.5052464335786
4,3,Houston,Texas,1763.408273438499,1704.7935577084493
4,4,Kansas,Gonzaga,1718.490985633717,1751.00642296465
5,1,Alabama,Florida Atlantic,1752.368191267296,1764.6369351708775
5,2,Houston,Gonzaga,1763.408273438499,1751.00642296465
6,1,Florida Atlantic,Houston,1764.6369351708775,1763.408273438499
7,1,Florida Atlantic,No Value,1764.6369351708775,No Value
