Round,Game,Team1,Team2,Rating1,Rating2
1,1,Connecticut,Stetson,4.720264371141764,2.767793613787666
1,2,Florida Atlantic,Northwestern,3.6036418737451714,3.676739823714773
1,3,San Diego State,UAB,3.9850397980692946,3.406270932847929
1,4,Auburn,Yale,4.470602734548809,3.2724946986282393
1,5,Brigham Young,Duquesne,3.9043697546092484,3.7801533925658872
1,6,Illinois,Morehead State,4.327925305395995,3.3128986867996084
1,7,Washington State,Drake,3.8680869872542214,4.144172185001537
1,8,Iowa State,South Dakota State,4.739235626286174,2.9760225461952277
1,9,North Carolina,Wagner,4.244531577603093,2.278692321250735
1,10,Mississippi State,Michigan State,3.971166716960747,3.926706996106901
1,11,Saint Mary's (CA),Grand Canyon,4.277972616248876,3.7648675802255664
1,12,Alabama,College of Charleston,3.911382487198468,3.53333402434307
1,13,Clemson,New Mexico,3.530248263591967,4.120553098315524
1,14,Baylor,Colgate,4.156669705635174,2.992038655341928
1,15,Dayton,Nevada,3.751164942398982,4.089492460040256
1,16,Arizona,Long Beach State,4.041946850378353,2.9284701368348207
1,17,Houston,Longwood,4.743591020504467,2.9012032756921475
1,18,Nebraska,Texas A&M,3.996328172867303,3.76542207417185
1,19,Wisconsin,James Madison,3.944498830613315,3.729984983308994
1,20,Duke,Vermont,3.9389404389285185,3.5484133563732314
1,21,Texas Tech,NC State,4.2227622924194455,3.9783007886615316
1,22,Kentucky,Oakland,4.046653170533554,3.102876362683819
1,23,Florida,Colorado,4.18743623228912,3.8415689048092934
1,24,Marquette,Western Kentucky,4.334817731747308,3.0209377310496857
1,25,Purdue,Grambling,4.5734354922714,2.554587349677394
1,26,Utah State,TCU,4.0077404365402485,3.904205985660584
1,27,Gonzaga,McNeese State,4.129835249279706,3.5299869721440955
1,28,Kansas,Samford,3.767727763486783,3.5492419648466877
1,29,South Carolina,Oregon,4.188236297353973,3.884497955192388
1,30,Creighton,Akron,3.989638165640636,3.0657882812903745
1,31,Texas,Colorado State,3.6393873506661136,3.859070185749508
1,32,Tennessee,Saint Peter's,4.1514248621570795,2.6989262109463716
2,1,Connecticut,Northwestern,4.720264371141764,3.676739823714773
2,2,San Diego State,Auburn,3.9850397980692946,4.470602734548809
2,3,Brigham Young,Illinois,3.9043697546092484,4.327925305395995
2,4,Drake,Iowa State,4.144172185001537,4.739235626286174
2,5,North Carolina,Mississippi State,4.244531577603093,3.971166716960747
2,6,Saint Mary's (CA),Alabama,4.277972616248876,3.911382487198468
2,7,New Mexico,Baylor,4.120553098315524,4.156669705635174
2,8,Nevada,Arizona,4.089492460040256,4.041946850378353
2,9,Houston,Nebraska,4.743591020504467,3.996328172867303
2,10,Wisconsin,Duke,3.944498830613315,3.9389404389285185
2,11,Texas Tech,Kentucky,4.2227622924194455,4.046653170533554
2,12,Florida,Marquette,4.18743623228912,4.334817731747308
2,13,Purdue,Utah State,4.5734354922714,4.0077404365402485
2,14,Gonzaga,Kansas,4.129835249279706,3.767727763486783
2,15,South Carolina,Creighton,4.188236297353973,3.989638165640636
2,16,Colorado State,Tennessee,3.859070185749508,4.1514248621570795
3,1,Connecticut,Auburn,4.720264371141764,4.470602734548809
3,2,Illinois,Iowa State,4.327925305395995,4.739235626286174
3,3,North Carolina,Saint Mary's (CA),4.244531577603093,4.277972616248876
3,4,Baylor,Nevada,4.156669705635174,4.089492460040256
3,5,Houston,Wisconsin,4.743591020504467,3.944498830613315
3,6,Texas Tech,Marquette,4.2227622924194455,4.334817731747308
3,7,Purdue,Gonzaga,4.5734354922714,4.129835249279706
3,8,South Carolina,Tennessee,4.188236297353973,4.1514248621570795
4,1,Connecticut,Iowa State,4.720264371141764,4.739235626286174
4,2,Saint Mary's (CA),Baylor,4.277972616248876,4.156669705635174
4,3,Houston,Marquette,4.743591020504467,4.334817731747308
4,4,Purdue,South Carolina,4.5734354922714,4.188236297353973
5,1,Iowa State,Saint Mary's (CA),4.739235626286174,4.277972616248876
5,2,Houston,Purdue,4.743591020504467,4.5734354922714
6,1,Iowa State,Houston,4.739235626286174,4.743591020504467
7,1,Houston,No Value,4.743591020504467,No Value
