Round,Game,Team1,Team2,Rating1,Rating2
1,1,Connecticut,Stetson,45.39483403385333,17.242421892325538
1,2,Florida Atlantic,Northwestern,34.439513275780136,33.380376257292696
1,3,San Diego State,UAB,35.738601724760336,25.76621772499068
1,4,Auburn,Yale,43.951664052485654,25.389670550204247
1,5,Brigham Young,Duquesne,40.93826902175688,28.193697581895677
1,6,Illinois,Morehead State,40.497348069680136,22.763259579546474
1,7,Washington State,Drake,34.930404751189016,31.802490031099445
1,8,Iowa State,South Dakota State,43.5057860832498,21.01683892380372
1,9,North Carolina,Wagner,41.668610061889495,9.754979792548916
1,10,Mississippi State,Michigan State,35.57324535536987,38.502941500496604
1,11,Saint Mary's (CA),Grand Canyon,37.88902917055229,30.498260812197536
1,12,Alabama,College of Charleston,41.7984756296641,24.33869610560316
1,13,Clemson,New Mexico,35.617987944651425,36.712847073969414
1,14,Baylor,Colgate,40.62093237894298,20.77296262357087
1,15,Dayton,Nevada,34.02554213960571,34.14785095917281
1,16,Arizona,Long Beach State,46.03108981206223,19.275003873324096
1,17,Houston,Longwood,46.888805475922695,19.433504069686336
1,18,Nebraska,Texas A&M,35.7206949587213,33.68344648944784
1,19,Wisconsin,James Madison,37.43896669031688,29.449827898806603
1,20,Duke,Vermont,40.89855206701545,23.41648984103394
1,21,Texas Tech,NC State,36.52764691567815,32.189635205773826
1,22,Kentucky,Oakland,38.258002316489154,21.800289389126615
1,23,Florida,Colorado,36.08869200687977,36.6458142606817
1,24,Marquette,Western Kentucky,40.24894809013582,21.57827125353069
1,25,Purdue,Grambling,45.48085474429026,9.600347528299368
1,26,Utah State,TCU,33.212785332856676,36.24494550425879
1,27,Gonzaga,McNeese State,37.9868072218365,28.107459189329788
1,28,Kansas,Samford,37.73615908947439,26.692255041968593
1,29,South Carolina,Oregon,32.249785830445596,32.9170305878207
1,30,Creighton,Akron,40.7133040777724,23.814979338277595
1,31,Texas,Colorado State,36.62073153096876,34.43765356133087
1,32,Tennessee,Saint Peter's,42.41982239966283,16.525115424552812
2,1,Connecticut,Florida Atlantic,45.39483403385333,34.439513275780136
2,2,San Diego State,Auburn,35.738601724760336,43.951664052485654
2,3,Brigham Young,Illinois,40.93826902175688,40.497348069680136
2,4,Washington State,Iowa State,34.930404751189016,43.5057860832498
2,5,North Carolina,Michigan State,41.668610061889495,38.502941500496604
2,6,Saint Mary's (CA),Alabama,37.88902917055229,41.7984756296641
2,7,New Mexico,Baylor,36.712847073969414,40.62093237894298
2,8,Nevada,Arizona,34.14785095917281,46.03108981206223
2,9,Houston,Nebraska,46.888805475922695,35.7206949587213
2,10,Wisconsin,Duke,37.43896669031688,40.89855206701545
2,11,Texas Tech,Kentucky,36.52764691567815,38.258002316489154
2,12,Colorado,Marquette,36.6458142606817,40.24894809013582
2,13,Purdue,TCU,45.48085474429026,36.24494550425879
2,14,Gonzaga,Kansas,37.9868072218365,37.73615908947439
2,15,Oregon,Creighton,32.9170305878207,40.7133040777724
2,16,Texas,Tennessee,36.62073153096876,42.41982239966283
3,1,Connecticut,Auburn,45.39483403385333,43.951664052485654
3,2,Brigham Young,Iowa State,40.93826902175688,43.5057860832498
3,3,North Carolina,Alabama,41.668610061889495,41.7984756296641
3,4,Baylor,Arizona,40.62093237894298,46.03108981206223
3,5,Houston,Duke,46.888805475922695,40.89855206701545
3,6,Kentucky,Marquette,38.258002316489154,40.24894809013582
3,7,Purdue,Gonzaga,45.48085474429026,37.9868072218365
3,8,Creighton,Tennessee,40.7133040777724,42.41982239966283
4,1,Connecticut,Iowa State,45.39483403385333,43.5057860832498
4,2,Alabama,Arizona,41.7984756296641,46.03108981206223
4,3,Houston,Marquette,46.888805475922695,40.24894809013582
4,4,Purdue,Tennessee,45.48085474429026,42.41982239966283
5,1,Connecticut,Arizona,45.39483403385333,46.03108981206223
5,2,Houston,Purdue,46.888805475922695,45.48085474429026
6,1,Arizona,Houston,46.03108981206223,46.888805475922695
7,1,Houston,No Value,46.888805475922695,No Value
