Round Name,Round,Game,Team1,Team2,Seed1,Seed2,Rating1,Rating2
Round of 64,1,1,Auburn,Alabama State,1,16,2154.2821137155,1661.0337206799
Round of 64,1,2,Louisville,Creighton,8,9,2159.3174892797,2021.5028524456
Round of 64,1,3,Michigan,UC San Diego,5,12,2168.3560530765,2251.182400641
Round of 64,1,4,Texas A&M,Yale,4,13,1970.3295869925,2029.235461683
Round of 64,1,5,Mississippi,North Carolina,6,11,1959.7476211333,2029.9272741216
Round of 64,1,6,Iowa State,Lipscomb,3,14,2060.0743964893,2004.1111695519
Round of 64,1,7,Marquette,New Mexico,7,10,1883.6925859415,2038.4950979752
Round of 64,1,8,Michigan State,Bryant,2,15,2327.1046466645,1939.7526558251
Round of 64,1,9,Florida,Norfolk State,1,16,2453.5016106225,1779.3150471422
Round of 64,1,10,Connecticut,Oklahoma,8,9,2004.7305014738,2032.2892175331
Round of 64,1,11,Memphis,Colorado State,5,12,2162.557440787,2275.8928651917
Round of 64,1,12,Maryland,Grand Canyon,4,13,2289.8996112304,2028.1618472008
Round of 64,1,13,Missouri,Drake,6,11,1934.3399897293,2201.3716860263
Round of 64,1,14,Texas Tech,UNC Wilmington,3,14,2081.091416588,1959.2477582173
Round of 64,1,15,Kansas,Arkansas,7,10,1900.6073745004,1960.4373033753
Round of 64,1,16,St. John's (NY),Omaha,2,15,2333.7505247314,1996.7000023009
Round of 64,1,17,Duke,Mount Saint Mary (NY),1,16,2381.9553076362,1354.889260381
Round of 64,1,18,Mississippi State,Baylor,8,9,1812.3859717571,1962.3840058165
Round of 64,1,19,Oregon,Liberty,5,12,2114.8783283118,2109.9151913177
Round of 64,1,20,Arizona,Akron,4,13,2110.924643363,2008.5982022258
Round of 64,1,21,Brigham Young,Virginia Commonwealth,6,11,2187.0050565072,2237.5496468748
Round of 64,1,22,Wisconsin,Montana,3,14,2114.5740065115,2011.1198373699
Round of 64,1,23,Saint Mary's (CA),Vanderbilt,7,10,2223.7047165547,1728.7874211419
Round of 64,1,24,Alabama,Robert Morris,2,15,2171.9761497338,2061.7571605308
Round of 64,1,25,Houston,Southern Illinois-Edwardsville,1,16,2484.4622424239,1875.4489044837
Round of 64,1,26,Gonzaga,Georgia,8,9,2325.1764026314,1973.2521533759
Round of 64,1,27,Clemson,McNeese State,5,12,2170.4062800278,2077.2400994275
Round of 64,1,28,Purdue,High Point,4,13,1894.9238356223,2070.8607624318
Round of 64,1,29,Illinois,Xavier,6,11,2094.2785272187,2014.4399635587
Round of 64,1,30,Kentucky,Troy,3,14,1992.1340378669,1978.0706116395
Round of 64,1,31,UCLA,Utah State,7,10,1929.1642837774,1909.7311274115
Round of 64,1,32,Tennessee,Wofford,2,15,2233.5037461056,1915.6765916645
Round of 32,2,1,Auburn,Louisville,1,8,2154.2821137155,2159.3174892797
Round of 32,2,2,UC San Diego,Yale,12,13,2251.182400641,2029.235461683
Round of 32,2,3,North Carolina,Iowa State,11,3,2029.9272741216,2060.0743964893
Round of 32,2,4,New Mexico,Michigan State,10,2,2038.4950979752,2327.1046466645
Round of 32,2,5,Florida,Oklahoma,1,9,2453.5016106225,2032.2892175331
Round of 32,2,6,Colorado State,Maryland,12,4,2275.8928651917,2289.8996112304
Round of 32,2,7,Drake,Texas Tech,11,3,2201.3716860263,2081.091416588
Round of 32,2,8,Arkansas,St. John's (NY),10,2,1960.4373033753,2333.7505247314
Round of 32,2,9,Duke,Baylor,1,9,2381.9553076362,1962.3840058165
Round of 32,2,10,Oregon,Arizona,5,4,2114.8783283118,2110.924643363
Round of 32,2,11,Virginia Commonwealth,Wisconsin,11,3,2237.5496468748,2114.5740065115
Round of 32,2,12,Saint Mary's (CA),Alabama,7,2,2223.7047165547,2171.9761497338
Round of 32,2,13,Houston,Gonzaga,1,8,2484.4622424239,2325.1764026314
Round of 32,2,14,Clemson,High Point,5,13,2170.4062800278,2070.8607624318
Round of 32,2,15,Illinois,Kentucky,6,3,2094.2785272187,1992.1340378669
Round of 32,2,16,UCLA,Tennessee,7,2,1929.1642837774,2233.5037461056
Sweet 16,3,1,Louisville,UC San Diego,8,12,2159.3174892797,2251.182400641
Sweet 16,3,2,Iowa State,Michigan State,3,2,2060.0743964893,2327.1046466645
Sweet 16,3,3,Florida,Maryland,1,4,2453.5016106225,2289.8996112304
Sweet 16,3,4,Drake,St. John's (NY),11,2,2201.3716860263,2333.7505247314
Sweet 16,3,5,Duke,Oregon,1,5,2381.9553076362,2114.8783283118
Sweet 16,3,6,Virginia Commonwealth,Saint Mary's (CA),11,7,2237.5496468748,2223.7047165547
Sweet 16,3,7,Houston,Clemson,1,5,2484.4622424239,2170.4062800278
Sweet 16,3,8,Illinois,Tennessee,6,2,2094.2785272187,2233.5037461056
Elite 8,4,1,UC San Diego,Michigan State,12,2,2251.182400641,2327.1046466645
Elite 8,4,2,Florida,St. John's (NY),1,2,2453.5016106225,2333.7505247314
Elite 8,4,3,Duke,Virginia Commonwealth,1,11,2381.9553076362,2237.5496468748
Elite 8,4,4,Houston,Tennessee,1,2,2484.4622424239,2233.5037461056
Final 4,5,1,Michigan State,Florida,2,1,2327.1046466645,2453.5016106225
Final 4,5,2,Duke,Houston,1,1,2381.9553076362,2484.4622424239
Championship,6,1,Florida,Houston,1,1,2453.5016106225,2484.4622424239
Champion,7,1,Houston,---,1,---,2484.4622424239,---
