Round Name,Round,Game,Team1,Team2,Seed1,Seed2,Rating1,Rating2
Round of 64,1,1,Auburn,Alabama State,1,16,14.242424242424235,1.205882352941174
Round of 64,1,2,Louisville,Creighton,8,9,9.676470588235304,5.705882352941174
Round of 64,1,3,Michigan,UC San Diego,5,12,7.029411764705884,18.147058823529413
Round of 64,1,4,Texas A&M,Yale,4,13,6.375,11.931034482758633
Round of 64,1,5,Mississippi,North Carolina,6,11,5.454545454545453,5.828571428571422
Round of 64,1,6,Iowa State,Lipscomb,3,14,12.303030303030297,12.0
Round of 64,1,7,Marquette,New Mexico,7,10,8.333333333333329,10.484848484848499
Round of 64,1,8,Michigan State,Bryant,2,15,10.909090909090907,8.5
Round of 64,1,9,Florida,Norfolk State,1,16,16.17647058823529,8.294117647058826
Round of 64,1,10,Connecticut,Oklahoma,8,9,9.36363636363636,4.0
Round of 64,1,11,Memphis,Colorado State,5,12,6.911764705882348,8.147058823529406
Round of 64,1,12,Maryland,Grand Canyon,4,13,14.666666666666671,10.030303030303031
Round of 64,1,13,Missouri,Drake,6,11,10.606060606060609,11.666666666666671
Round of 64,1,14,Texas Tech,UNC Wilmington,3,14,13.333333333333329,9.470588235294116
Round of 64,1,15,Kansas,Arkansas,7,10,6.939393939393952,5.454545454545453
Round of 64,1,16,St. John's (NY),Omaha,2,15,12.82352941176471,3.029411764705884
Round of 64,1,17,Duke,Mount Saint Mary (NY),1,16,20.79411764705882,-53.0
Round of 64,1,18,Mississippi State,Baylor,8,9,5.606060606060595,7.303030303030297
Round of 64,1,19,Oregon,Liberty,5,12,5.2727272727272805,13.676470588235297
Round of 64,1,20,Arizona,Akron,4,13,9.294117647058826,10.058823529411768
Round of 64,1,21,Brigham Young,Virginia Commonwealth,6,11,10.090909090909093,14.735294117647065
Round of 64,1,22,Wisconsin,Montana,3,14,9.285714285714278,3.941176470588232
Round of 64,1,23,Saint Mary's (CA),Vanderbilt,7,10,12.848484848484851,4.84375
Round of 64,1,24,Alabama,Robert Morris,2,15,9.696969696969703,6.411764705882362
Round of 64,1,25,Houston,Southern Illinois-Edwardsville,1,16,15.735294117647058,6.484848484848484
Round of 64,1,26,Gonzaga,Georgia,8,9,17.0,6.25
Round of 64,1,27,Clemson,McNeese State,5,12,10.666666666666657,13.212121212121218
Round of 64,1,28,Purdue,High Point,4,13,6.787878787878782,13.441176470588232
Round of 64,1,29,Illinois,Xavier,6,11,9.212121212121204,7.15625
Round of 64,1,30,Kentucky,Troy,3,14,7.424242424242422,8.454545454545453
Round of 64,1,31,UCLA,Utah State,7,10,9.03125,10.909090909090907
Round of 64,1,32,Tennessee,Wofford,2,15,11.705882352941174,5.5
Round of 32,2,1,Auburn,Louisville,1,8,14.242424242424235,9.676470588235304
Round of 32,2,2,UC San Diego,Yale,12,13,18.147058823529413,11.931034482758633
Round of 32,2,3,North Carolina,Iowa State,11,3,5.828571428571422,12.303030303030297
Round of 32,2,4,New Mexico,Michigan State,10,2,10.484848484848499,10.909090909090907
Round of 32,2,5,Florida,Connecticut,1,8,16.17647058823529,9.36363636363636
Round of 32,2,6,Colorado State,Maryland,12,4,8.147058823529406,14.666666666666671
Round of 32,2,7,Drake,Texas Tech,11,3,11.666666666666671,13.333333333333329
Round of 32,2,8,Kansas,St. John's (NY),7,2,6.939393939393952,12.82352941176471
Round of 32,2,9,Duke,Baylor,1,9,20.79411764705882,7.303030303030297
Round of 32,2,10,Liberty,Akron,12,13,13.676470588235297,10.058823529411768
Round of 32,2,11,Virginia Commonwealth,Wisconsin,11,3,14.735294117647065,9.285714285714278
Round of 32,2,12,Saint Mary's (CA),Alabama,7,2,12.848484848484851,9.696969696969703
Round of 32,2,13,Houston,Gonzaga,1,8,15.735294117647058,17.0
Round of 32,2,14,McNeese State,High Point,12,13,13.212121212121218,13.441176470588232
Round of 32,2,15,Illinois,Troy,6,14,9.212121212121204,8.454545454545453
Round of 32,2,16,Utah State,Tennessee,10,2,10.909090909090907,11.705882352941174
Sweet 16,3,1,Auburn,UC San Diego,1,12,14.242424242424235,18.147058823529413
Sweet 16,3,2,Iowa State,Michigan State,3,2,12.303030303030297,10.909090909090907
Sweet 16,3,3,Florida,Maryland,1,4,16.17647058823529,14.666666666666671
Sweet 16,3,4,Texas Tech,St. John's (NY),3,2,13.333333333333329,12.82352941176471
Sweet 16,3,5,Duke,Liberty,1,12,20.79411764705882,13.676470588235297
Sweet 16,3,6,Virginia Commonwealth,Saint Mary's (CA),11,7,14.735294117647065,12.848484848484851
Sweet 16,3,7,Gonzaga,High Point,8,13,17.0,13.441176470588232
Sweet 16,3,8,Illinois,Tennessee,6,2,9.212121212121204,11.705882352941174
Elite 8,4,1,UC San Diego,Iowa State,12,3,18.147058823529413,12.303030303030297
Elite 8,4,2,Florida,Texas Tech,1,3,16.17647058823529,13.333333333333329
Elite 8,4,3,Duke,Virginia Commonwealth,1,11,20.79411764705882,14.735294117647065
Elite 8,4,4,Gonzaga,Tennessee,8,2,17.0,11.705882352941174
Final 4,5,1,UC San Diego,Florida,12,1,18.147058823529413,16.17647058823529
Final 4,5,2,Duke,Gonzaga,1,8,20.79411764705882,17.0
Championship,6,1,UC San Diego,Duke,12,1,18.147058823529413,20.79411764705882
Champion,7,1,Duke,---,1,---,20.79411764705882,---
