Round Name,Round,Game,Team1,Team2,Seed1,Seed2,Rating1,Rating2
Round of 64,1,1,Auburn,Alabama State,1,16,1742.5724061164,1546.0247712612
Round of 64,1,2,Louisville,Creighton,8,9,1723.6280227688,1659.252841793
Round of 64,1,3,Michigan,UC San Diego,5,12,1698.3929266784,1759.0461770176
Round of 64,1,4,Texas A&M,Yale,4,13,1644.3123559961,1676.2177914069
Round of 64,1,5,Mississippi,North Carolina,6,11,1639.3499856629,1627.4784861804
Round of 64,1,6,Iowa State,Lipscomb,3,14,1644.3312010221,1648.9485116269
Round of 64,1,7,Marquette,New Mexico,7,10,1619.4640514912,1678.7162424572
Round of 64,1,8,Michigan State,Bryant,2,15,1736.9595108443,1628.7006643525
Round of 64,1,9,Florida,Norfolk State,1,16,1789.6458847192,1617.8063495312
Round of 64,1,10,Connecticut,Oklahoma,8,9,1644.717596365,1587.0935869589
Round of 64,1,11,Memphis,Colorado State,5,12,1741.3371311562,1704.9605574102
Round of 64,1,12,Maryland,Grand Canyon,4,13,1687.567780011,1675.0820254228
Round of 64,1,13,Missouri,Drake,6,11,1619.7885359121,1754.6093562769
Round of 64,1,14,Texas Tech,UNC Wilmington,3,14,1680.4756365347,1684.9231468685
Round of 64,1,15,Kansas,Arkansas,7,10,1601.9662331706,1609.2794080623
Round of 64,1,16,St. John's (NY),Omaha,2,15,1768.9232898122,1630.7307260289
Round of 64,1,17,Duke,Mount Saint Mary (NY),1,16,1787.3033649631,1485.0
Round of 64,1,18,Mississippi State,Baylor,8,9,1596.7023485901,1574.8470197467
Round of 64,1,19,Oregon,Liberty,5,12,1662.8478379418,1715.5809214304
Round of 64,1,20,Arizona,Akron,4,13,1649.8578170714,1712.6401453293
Round of 64,1,21,Brigham Young,Virginia Commonwealth,6,11,1686.2811228488,1737.1428113857
Round of 64,1,22,Wisconsin,Montana,3,14,1679.9785618406,1666.1862144018
Round of 64,1,23,Saint Mary's (CA),Vanderbilt,7,10,1727.5495564255,1590.3204170368
Round of 64,1,24,Alabama,Robert Morris,2,15,1711.6991358425,1677.5308235592
Round of 64,1,25,Houston,Southern Illinois-Edwardsville,1,16,1796.7978990355,1601.6082458263
Round of 64,1,26,Gonzaga,Georgia,8,9,1704.8080516575,1606.072584222
Round of 64,1,27,Clemson,McNeese State,5,12,1717.1616621607,1713.0112978881
Round of 64,1,28,Purdue,High Point,4,13,1626.0745039972,1719.4789089553
Round of 64,1,29,Illinois,Xavier,6,11,1629.2248254853,1621.3397731307
Round of 64,1,30,Kentucky,Troy,3,14,1643.3035763221,1630.694095496
Round of 64,1,31,UCLA,Utah State,7,10,1633.9163233476,1660.4223831692
Round of 64,1,32,Tennessee,Wofford,2,15,1725.3891479504,1574.8386132668
Round of 32,2,1,Auburn,Louisville,1,8,1742.5724061164,1723.6280227688
Round of 32,2,2,UC San Diego,Yale,12,13,1759.0461770176,1676.2177914069
Round of 32,2,3,Mississippi,Lipscomb,6,14,1639.3499856629,1648.9485116269
Round of 32,2,4,New Mexico,Michigan State,10,2,1678.7162424572,1736.9595108443
Round of 32,2,5,Florida,Connecticut,1,8,1789.6458847192,1644.717596365
Round of 32,2,6,Memphis,Maryland,5,4,1741.3371311562,1687.567780011
Round of 32,2,7,Drake,UNC Wilmington,11,14,1754.6093562769,1684.9231468685
Round of 32,2,8,Arkansas,St. John's (NY),10,2,1609.2794080623,1768.9232898122
Round of 32,2,9,Duke,Mississippi State,1,8,1787.3033649631,1596.7023485901
Round of 32,2,10,Liberty,Akron,12,13,1715.5809214304,1712.6401453293
Round of 32,2,11,Virginia Commonwealth,Wisconsin,11,3,1737.1428113857,1679.9785618406
Round of 32,2,12,Saint Mary's (CA),Alabama,7,2,1727.5495564255,1711.6991358425
Round of 32,2,13,Houston,Gonzaga,1,8,1796.7978990355,1704.8080516575
Round of 32,2,14,Clemson,High Point,5,13,1717.1616621607,1719.4789089553
Round of 32,2,15,Illinois,Kentucky,6,3,1629.2248254853,1643.3035763221
Round of 32,2,16,Utah State,Tennessee,10,2,1660.4223831692,1725.3891479504
Sweet 16,3,1,Auburn,UC San Diego,1,12,1742.5724061164,1759.0461770176
Sweet 16,3,2,Lipscomb,Michigan State,14,2,1648.9485116269,1736.9595108443
Sweet 16,3,3,Florida,Memphis,1,5,1789.6458847192,1741.3371311562
Sweet 16,3,4,Drake,St. John's (NY),11,2,1754.6093562769,1768.9232898122
Sweet 16,3,5,Duke,Liberty,1,12,1787.3033649631,1715.5809214304
Sweet 16,3,6,Virginia Commonwealth,Saint Mary's (CA),11,7,1737.1428113857,1727.5495564255
Sweet 16,3,7,Houston,High Point,1,13,1796.7978990355,1719.4789089553
Sweet 16,3,8,Kentucky,Tennessee,3,2,1643.3035763221,1725.3891479504
Elite 8,4,1,UC San Diego,Michigan State,12,2,1759.0461770176,1736.9595108443
Elite 8,4,2,Florida,St. John's (NY),1,2,1789.6458847192,1768.9232898122
Elite 8,4,3,Duke,Virginia Commonwealth,1,11,1787.3033649631,1737.1428113857
Elite 8,4,4,Houston,Tennessee,1,2,1796.7978990355,1725.3891479504
Final 4,5,1,UC San Diego,Florida,12,1,1759.0461770176,1789.6458847192
Final 4,5,2,Duke,Houston,1,1,1787.3033649631,1796.7978990355
Championship,6,1,Florida,Houston,1,1,1789.6458847192,1796.7978990355
Champion,7,1,Houston,---,1,---,1796.7978990355,---
