Round Name,Round,Game,Team1,Team2,Seed1,Seed2,Rating1,Rating2
Round of 64,1,1,Auburn,Alabama State,1,16,0.9985983653278647,0.0014016346721352768
Round of 64,1,2,Louisville,Creighton,8,9,0.7936556674264096,0.20634433257359042
Round of 64,1,3,Michigan,UC San Diego,5,12,0.881074525745538,0.11892547425446198
Round of 64,1,4,Texas A&M,Yale,4,13,0.9357444615094295,0.06425553849057053
Round of 64,1,5,Mississippi,North Carolina,6,11,0.7485047853675771,0.25149521463242286
Round of 64,1,6,Iowa State,Lipscomb,3,14,0.960567843376035,0.03943215662396504
Round of 64,1,7,Marquette,New Mexico,7,10,0.8144500637046709,0.18554993629532912
Round of 64,1,8,Michigan State,Bryant,2,15,0.9832033192045277,0.016796680795472252
Round of 64,1,9,Florida,Norfolk State,1,16,0.9948004901942141,0.0051995098057858735
Round of 64,1,10,Connecticut,Oklahoma,8,9,0.7299218745182462,0.2700781254817538
Round of 64,1,11,Memphis,Colorado State,5,12,0.6880302765368699,0.3119697234631301
Round of 64,1,12,Maryland,Grand Canyon,4,13,0.9720400364096954,0.027959963590304615
Round of 64,1,13,Missouri,Drake,6,11,0.9193144199715302,0.08068558002846982
Round of 64,1,14,Texas Tech,UNC Wilmington,3,14,0.9758774995257188,0.024122500474281217
Round of 64,1,15,Kansas,Arkansas,7,10,0.7971827627280781,0.2028172372719219
Round of 64,1,16,St. John's (NY),Omaha,2,15,0.9796781982524982,0.020321801747501755
Round of 64,1,17,Duke,Mount Saint Mary (NY),1,16,0.9999155447202138,8.44552797861775e-05
Round of 64,1,18,Mississippi State,Baylor,8,9,0.6468409578594515,0.3531590421405485
Round of 64,1,19,Oregon,Liberty,5,12,0.9046851039324701,0.09531489606752985
Round of 64,1,20,Arizona,Akron,4,13,0.9697561028171782,0.030243897182821833
Round of 64,1,21,Brigham Young,Virginia Commonwealth,6,11,0.8030820525124746,0.19691794748752545
Round of 64,1,22,Wisconsin,Montana,3,14,0.9791730873696024,0.020826912630397598
Round of 64,1,23,Saint Mary's (CA),Vanderbilt,7,10,0.7652271294688707,0.23477287053112927
Round of 64,1,24,Alabama,Robert Morris,2,15,0.9893165723493389,0.010683427650661104
Round of 64,1,25,Houston,Southern Illinois-Edwardsville,1,16,0.9951604394700585,0.0048395605299415
Round of 64,1,26,Gonzaga,Georgia,8,9,0.830957268744937,0.16904273125506297
Round of 64,1,27,Clemson,McNeese State,5,12,0.9059698702204068,0.09403012977959324
Round of 64,1,28,Purdue,High Point,4,13,0.9555458375200543,0.044454162479945714
Round of 64,1,29,Illinois,Xavier,6,11,0.8591703417859778,0.14082965821402216
Round of 64,1,30,Kentucky,Troy,3,14,0.9689476173291459,0.031052382670854084
Round of 64,1,31,UCLA,Utah State,7,10,0.8346527384957984,0.16534726150420165
Round of 64,1,32,Tennessee,Wofford,2,15,0.9845183510738674,0.015481648926132574
Round of 32,2,1,Auburn,Louisville,1,8,0.9985983653278647,0.7936556674264096
Round of 32,2,2,Michigan,Texas A&M,5,4,0.881074525745538,0.9357444615094295
Round of 32,2,3,Mississippi,Iowa State,6,3,0.7485047853675771,0.960567843376035
Round of 32,2,4,Marquette,Michigan State,7,2,0.8144500637046709,0.9832033192045277
Round of 32,2,5,Florida,Connecticut,1,8,0.9948004901942141,0.7299218745182462
Round of 32,2,6,Memphis,Maryland,5,4,0.6880302765368699,0.9720400364096954
Round of 32,2,7,Missouri,Texas Tech,6,3,0.9193144199715302,0.9758774995257188
Round of 32,2,8,Kansas,St. John's (NY),7,2,0.7971827627280781,0.9796781982524982
Round of 32,2,9,Duke,Mississippi State,1,8,0.9999155447202138,0.6468409578594515
Round of 32,2,10,Oregon,Arizona,5,4,0.9046851039324701,0.9697561028171782
Round of 32,2,11,Brigham Young,Wisconsin,6,3,0.8030820525124746,0.9791730873696024
