Round Name,Round,Game,Team1,Team2,Seed1,Seed2,Rating1,Rating2
Round of 64,1,1,Auburn,Alabama State,1,16,38.8493492286,5.0124060449
Round of 64,1,2,Louisville,Creighton,8,9,29.3503878643,26.5537692514
Round of 64,1,3,Michigan,UC San Diego,5,12,29.8547762667,26.4447838378
Round of 64,1,4,Texas A&M,Yale,4,13,29.5758723643,20.9920972207
Round of 64,1,5,Mississippi,North Carolina,6,11,28.2328951959,27.1602075051
Round of 64,1,6,Iowa State,Lipscomb,3,14,32.7671558452,19.2919617656
Round of 64,1,7,Marquette,New Mexico,7,10,29.0645614543,25.9787053557
Round of 64,1,8,Michigan State,Bryant,2,15,32.2854021896,15.0671730608
Round of 64,1,9,Florida,Norfolk State,1,16,37.5759714225,12.2237829139
Round of 64,1,10,Connecticut,Oklahoma,8,9,28.2488180607,25.4348242921
Round of 64,1,11,Memphis,Colorado State,5,12,23.9482196521,24.5304110965
Round of 64,1,12,Maryland,Grand Canyon,4,13,33.6553599112,18.9017919565
Round of 64,1,13,Missouri,Drake,6,11,30.6903792305,22.8901590541
Round of 64,1,14,Texas Tech,UNC Wilmington,3,14,33.4495727839,17.3021410888
Round of 64,1,15,Kansas,Arkansas,7,10,30.1630254314,26.8742523
Round of 64,1,16,St. John's (NY),Omaha,2,15,32.0347519218,13.3889150842
Round of 64,1,17,Duke,Mount Saint Mary (NY),1,16,40.0838024501,-20.6978574621
Round of 64,1,18,Mississippi State,Baylor,8,9,27.4872472074,29.0296927062
Round of 64,1,19,Oregon,Liberty,5,12,27.3815140396,21.807372637
Round of 64,1,20,Arizona,Akron,4,13,32.4993320805,18.8238157297
Round of 64,1,21,Brigham Young,Virginia Commonwealth,6,11,29.4962427943,27.3961138689
Round of 64,1,22,Wisconsin,Montana,3,14,30.7779698033,13.7414278849
Round of 64,1,23,Saint Mary's (CA),Vanderbilt,7,10,28.5218089433,25.442458568
Round of 64,1,24,Alabama,Robert Morris,2,15,35.3201654696,14.7077951126
Round of 64,1,25,Houston,Southern Illinois-Edwardsville,1,16,37.6425503715,11.2193170723
Round of 64,1,26,Gonzaga,Georgia,8,9,34.037715464,27.5886344647
Round of 64,1,27,Clemson,McNeese State,5,12,28.7531211818,22.1927844322
Round of 64,1,28,Purdue,High Point,4,13,30.3004902842,20.3673547682
Round of 64,1,29,Illinois,Xavier,6,11,31.6381753854,26.0692346718
Round of 64,1,30,Kentucky,Troy,3,14,31.404605848,17.4060362389
Round of 64,1,31,UCLA,Utah State,7,10,29.2126260631,25.6592323932
Round of 64,1,32,Tennessee,Wofford,2,15,34.6772978644,15.1900537852
Round of 32,2,1,Auburn,Louisville,1,8,38.8493492286,29.3503878643
Round of 32,2,2,Michigan,Texas A&M,5,4,29.8547762667,29.5758723643
Round of 32,2,3,Mississippi,Iowa State,6,3,28.2328951959,32.7671558452
Round of 32,2,4,Marquette,Michigan State,7,2,29.0645614543,32.2854021896
Round of 32,2,5,Florida,Connecticut,1,8,37.5759714225,28.2488180607
Round of 32,2,6,Colorado State,Maryland,12,4,24.5304110965,33.6553599112
Round of 32,2,7,Missouri,Texas Tech,6,3,30.6903792305,33.4495727839
Round of 32,2,8,Kansas,St. John's (NY),7,2,30.1630254314,32.0347519218
Round of 32,2,9,Duke,Baylor,1,9,40.0838024501,29.0296927062
Round of 32,2,10,Oregon,Arizona,5,4,27.3815140396,32.4993320805
Round of 32,2,11,Brigham Young,Wisconsin,6,3,29.4962427943,30.7779698033
Round of 32,2,12,Saint Mary's (CA),Alabama,7,2,28.5218089433,35.3201654696
Round of 32,2,13,Houston,Gonzaga,1,8,37.6425503715,34.037715464
Round of 32,2,14,Clemson,Purdue,5,4,28.7531211818,30.3004902842
Round of 32,2,15,Illinois,Kentucky,6,3,31.6381753854,31.404605848
Round of 32,2,16,UCLA,Tennessee,7,2,29.2126260631,34.6772978644
Sweet 16,3,1,Auburn,Michigan,1,5,38.8493492286,29.8547762667
Sweet 16,3,2,Iowa State,Michigan State,3,2,32.7671558452,32.2854021896
Sweet 16,3,3,Florida,Maryland,1,4,37.5759714225,33.6553599112
Sweet 16,3,4,Texas Tech,St. John's (NY),3,2,33.4495727839,32.0347519218
Sweet 16,3,5,Duke,Arizona,1,4,40.0838024501,32.4993320805
Sweet 16,3,6,Wisconsin,Alabama,3,2,30.7779698033,35.3201654696
Sweet 16,3,7,Houston,Purdue,1,4,37.6425503715,30.3004902842
Sweet 16,3,8,Illinois,Tennessee,6,2,31.6381753854,34.6772978644
Elite 8,4,1,Auburn,Iowa State,1,3,38.8493492286,32.7671558452
Elite 8,4,2,Florida,Texas Tech,1,3,37.5759714225,33.4495727839
Elite 8,4,3,Duke,Alabama,1,2,40.0838024501,35.3201654696
Elite 8,4,4,Houston,Tennessee,1,2,37.6425503715,34.6772978644
Final 4,5,1,Auburn,Florida,1,1,38.8493492286,37.5759714225
Final 4,5,2,Duke,Houston,1,1,40.0838024501,37.6425503715
Championship,6,1,Auburn,Duke,1,1,38.8493492286,40.0838024501
Champion,7,1,Duke,---,1,---,40.0838024501,---
