Round Name,Round,Game,Team1,Team2,Seed1,Seed2,Rating1,Rating2
Round of 64,1,1,Auburn,Alabama State,1,16,24.86,-9.15
Round of 64,1,2,Louisville,Creighton,8,9,30.31,21.76
Round of 64,1,3,Michigan,UC San Diego,5,12,20.94,8.06
Round of 64,1,4,Texas A&M,Yale,4,13,16.18,1.13
Round of 64,1,5,Mississippi,North Carolina,6,11,29.57,30.31
Round of 64,1,6,Iowa State,Lipscomb,3,14,19.8,1.63
Round of 64,1,7,Marquette,New Mexico,7,10,21.76,13.88
Round of 64,1,8,Michigan State,Bryant,2,15,20.94,-6.28
Round of 64,1,9,Florida,Norfolk State,1,16,24.86,-4.36
Round of 64,1,10,Connecticut,Oklahoma,8,9,16.35,21.61
Round of 64,1,11,Memphis,Colorado State,5,12,4.41,13.88
Round of 64,1,12,Maryland,Grand Canyon,4,13,20.16,2.3
Round of 64,1,13,Missouri,Drake,6,11,27.98,6.24
Round of 64,1,14,Texas Tech,UNC Wilmington,3,14,23.12,-5.87
Round of 64,1,15,Kansas,Arkansas,7,10,23.12,17.92
Round of 64,1,16,St. John's (NY),Omaha,2,15,16.35,1.33
Round of 64,1,17,Duke,Mount Saint Mary (NY),1,16,19.29,-999
Round of 64,1,18,Mississippi State,Baylor,8,9,20.39,23.9
Round of 64,1,19,Oregon,Liberty,5,12,22.46,1.39
Round of 64,1,20,Arizona,Akron,4,13,28.44,-0.84
Round of 64,1,21,Brigham Young,Virginia Commonwealth,6,11,28.44,7.71
Round of 64,1,22,Wisconsin,Montana,3,14,20.16,1.6
Round of 64,1,23,Saint Mary's (CA),Vanderbilt,7,10,23.62,16.18
Round of 64,1,24,Alabama,Robert Morris,2,15,27.98,-3.88
Round of 64,1,25,Houston,Southern Illinois-Edwardsville,1,16,23.12,-4.68
Round of 64,1,26,Gonzaga,Georgia,8,9,17.74,15.42
Round of 64,1,27,Clemson,McNeese State,5,12,19.29,-2.2
Round of 64,1,28,Purdue,High Point,4,13,20.16,-1.45
Round of 64,1,29,Illinois,Xavier,6,11,23.53,18.88
Round of 64,1,30,Kentucky,Troy,3,14,25.96,5.22
Round of 64,1,31,UCLA,Utah State,7,10,20.94,13.9
Round of 64,1,32,Tennessee,Wofford,2,15,27.98,0.05
Round of 32,2,1,Auburn,Louisville,1,8,24.86,30.31
Round of 32,2,2,Michigan,Texas A&M,5,4,20.94,16.18
Round of 32,2,3,North Carolina,Iowa State,11,3,30.31,19.8
Round of 32,2,4,Marquette,Michigan State,7,2,21.76,20.94
Round of 32,2,5,Florida,Oklahoma,1,9,24.86,21.61
Round of 32,2,6,Colorado State,Maryland,12,4,13.88,20.16
Round of 32,2,7,Missouri,Texas Tech,6,3,27.98,23.12
Round of 32,2,8,Kansas,St. John's (NY),7,2,23.12,16.35
Round of 32,2,9,Duke,Baylor,1,9,19.29,23.9
Round of 32,2,10,Oregon,Arizona,5,4,22.46,28.44
Round of 32,2,11,Brigham Young,Wisconsin,6,3,28.44,20.16
Round of 32,2,12,Saint Mary's (CA),Alabama,7,2,23.62,27.98
Round of 32,2,13,Houston,Gonzaga,1,8,23.12,17.74
Round of 32,2,14,Clemson,Purdue,5,4,19.29,20.16
Round of 32,2,15,Illinois,Kentucky,6,3,23.53,25.96
Round of 32,2,16,UCLA,Tennessee,7,2,20.94,27.98
Sweet 16,3,1,Louisville,Michigan,8,5,30.31,20.94
Sweet 16,3,2,North Carolina,Marquette,11,7,30.31,21.76
Sweet 16,3,3,Florida,Maryland,1,4,24.86,20.16
Sweet 16,3,4,Missouri,Kansas,6,7,27.98,23.12
Sweet 16,3,5,Baylor,Arizona,9,4,23.9,28.44
Sweet 16,3,6,Brigham Young,Alabama,6,2,28.44,27.98
Sweet 16,3,7,Houston,Purdue,1,4,23.12,20.16
Sweet 16,3,8,Kentucky,Tennessee,3,2,25.96,27.98
Elite 8,4,1,Louisville,North Carolina,8,11,30.31,30.31
Elite 8,4,2,Florida,Missouri,1,6,24.86,27.98
Elite 8,4,3,Arizona,Brigham Young,4,6,28.44,28.44
Elite 8,4,4,Houston,Tennessee,1,2,23.12,27.98
Final 4,5,1,Louisville,Missouri,8,6,30.31,27.98
Final 4,5,2,Arizona,Tennessee,4,2,28.44,27.98
Championship,6,1,Louisville,Arizona,8,4,30.31,28.44
Champion,7,1,Louisville,---,8,---,30.31,---
