Round Name,Round,Game,Team1,Team2,Seed1,Seed2,Rating1,Rating2
Round of 64,1,1,Auburn,Alabama State,1,16,0.9963721,0.0036278963088989258
Round of 64,1,2,Louisville,Creighton,8,9,0.7053687,0.29463130235671997
Round of 64,1,3,Michigan,UC San Diego,5,12,0.9720091,0.027990877628326416
Round of 64,1,4,Texas A&M,Yale,4,13,0.96121424,0.03878575563430786
Round of 64,1,5,Mississippi,North Carolina,6,11,0.7885076,0.2114924192428589
Round of 64,1,6,Iowa State,Lipscomb,3,14,0.96749866,0.03250133991241455
Round of 64,1,7,Marquette,New Mexico,7,10,0.9499658,0.05003422498703003
Round of 64,1,8,Michigan State,Bryant,2,15,0.9928034,0.007196605205535889
Round of 64,1,9,Florida,Norfolk State,1,16,0.9949356,0.005064427852630615
Round of 64,1,10,Connecticut,Oklahoma,8,9,0.6237629,0.37623709440231323
Round of 64,1,11,Memphis,Colorado State,5,12,0.7264937,0.2735062837600708
Round of 64,1,12,Maryland,Grand Canyon,4,13,0.97791994,0.022080063819885254
Round of 64,1,13,Missouri,Drake,6,11,0.96570545,0.03429454565048218
Round of 64,1,14,Texas Tech,UNC Wilmington,3,14,0.98442775,0.01557224988937378
Round of 64,1,15,Kansas,Arkansas,7,10,0.79919934,0.20080065727233887
Round of 64,1,16,St. John's (NY),Omaha,2,15,0.9907136,0.00928640365600586
Round of 64,1,17,Duke,Mount Saint Mary (NY),1,16,0.9974152,0.00258481502532959
Round of 64,1,18,Mississippi State,Baylor,8,9,0.7228267,0.2771732807159424
Round of 64,1,19,Oregon,Liberty,5,12,0.9437231,0.056276917457580566
Round of 64,1,20,Arizona,Akron,4,13,0.97786295,0.022137045860290527
Round of 64,1,21,Brigham Young,Virginia Commonwealth,6,11,0.8537161,0.14628392457962036
Round of 64,1,22,Wisconsin,Montana,3,14,0.994414,0.005586028099060059
Round of 64,1,23,Saint Mary's (CA),Vanderbilt,7,10,0.85377365,0.14622634649276733
Round of 64,1,24,Alabama,Robert Morris,2,15,0.9797633,0.020236670970916748
Round of 64,1,25,Houston,Southern Illinois-Edwardsville,1,16,0.9905811,0.009418904781341553
Round of 64,1,26,Gonzaga,Georgia,8,9,0.73289233,0.26710766553878784
Round of 64,1,27,Clemson,McNeese State,5,12,0.94452435,0.05547565221786499
Round of 64,1,28,Purdue,High Point,4,13,0.9826843,0.017315685749053955
Round of 64,1,29,Illinois,Xavier,6,11,0.9262497,0.0737503170967102
Round of 64,1,30,Kentucky,Troy,3,14,0.9515018,0.04849821329116821
Round of 64,1,31,UCLA,Utah State,7,10,0.9479703,0.05202972888946533
Round of 64,1,32,Tennessee,Wofford,2,15,0.997174,0.0028259754180908203
Round of 32,2,1,Auburn,Louisville,1,8,0.9963721036911011,0.70536869764328
Round of 32,2,2,Michigan,Texas A&M,5,4,0.9720091223716736,0.9612142443656921
Round of 32,2,3,Mississippi,Iowa State,6,3,0.7885075807571411,0.9674986600875854
Round of 32,2,4,Marquette,Michigan State,7,2,0.94996577501297,0.9928033947944641
Round of 32,2,5,Florida,Connecticut,1,8,0.9949355721473694,0.6237629055976868
Round of 32,2,6,Memphis,Maryland,5,4,0.7264937162399292,0.9779199361801147
Round of 32,2,7,Missouri,Texas Tech,6,3,0.9657054543495178,0.9844277501106262
Round of 32,2,8,Kansas,St. John's (NY),7,2,0.7991993427276611,0.9907135963439941
Round of 32,2,9,Duke,Mississippi State,1,8,0.9974151849746704,0.7228267192840576
Round of 32,2,10,Oregon,Arizona,5,4,0.9437230825424194,0.9778629541397095
Round of 32,2,11,Brigham Young,Wisconsin,6,3,0.8537160754203796,0.9944139719009399
Round of 32,2,12,Saint Mary's (CA),Alabama,7,2,0.8537736535072327,0.9797633290290833
Round of 32,2,13,Houston,Gonzaga,1,8,0.9905810952186584,0.7328923344612122
Round of 32,2,14,Clemson,Purdue,5,4,0.944524347782135,0.982684314250946
Round of 32,2,15,Illinois,Kentucky,6,3,0.9262496829032898,0.9515017867088318
Round of 32,2,16,UCLA,Tennessee,7,2,0.9479702711105347,0.9971740245819092
Sweet 16,3,1,Auburn,Michigan,1,5,0.9963721036911011,0.9720091223716736
Sweet 16,3,2,Iowa State,Michigan State,3,2,0.9674986600875854,0.9928033947944641
Sweet 16,3,3,Florida,Maryland,1,4,0.9949355721473694,0.9779199361801147
Sweet 16,3,4,Texas Tech,St. John's (NY),3,2,0.9844277501106262,0.9907135963439941
Sweet 16,3,5,Duke,Arizona,1,4,0.9974151849746704,0.9778629541397095
Sweet 16,3,6,Wisconsin,Alabama,3,2,0.9944139719009399,0.9797633290290833
Sweet 16,3,7,Houston,Purdue,1,4,0.9905810952186584,0.982684314250946
Sweet 16,3,8,Kentucky,Tennessee,3,2,0.9515017867088318,0.9971740245819092
Elite 8,4,1,Auburn,Michigan State,1,2,0.9963721036911011,0.9928033947944641
Elite 8,4,2,Florida,St. John's (NY),1,2,0.9949355721473694,0.9907135963439941
Elite 8,4,3,Duke,Wisconsin,1,3,0.9974151849746704,0.9944139719009399
Elite 8,4,4,Houston,Tennessee,1,2,0.9905810952186584,0.9971740245819092
Final 4,5,1,Auburn,Florida,1,1,0.9963721036911011,0.9949355721473694
Final 4,5,2,Duke,Tennessee,1,2,0.9974151849746704,0.9971740245819092
Championship,6,1,Auburn,Duke,1,1,0.9963721036911011,0.9974151849746704
Champion,7,1,Duke,---,1,---,0.9974151849746704,---
