Round Name,Round,Game,Team1,Team2,Seed1,Seed2,Rating1,Rating2
Round of 64,1,1,Florida,Prairie View A&M,1,16,72.0,76.05714285714286
Round of 64,1,2,Clemson,Iowa,8,9,66.73529411764706,65.96969696969697
Round of 64,1,3,Vanderbilt,McNeese,5,12,75.20588235294117,66.45454545454545
Round of 64,1,4,Nebraska,Troy,4,13,66.21875,73.0909090909091
Round of 64,1,5,North Carolina,Virginia Commonwealth,6,11,71.3125,71.47058823529412
Round of 64,1,6,Illinois,Pennsylvania,3,14,69.8125,73.3103448275862
Round of 64,1,7,Saint Mary's,Texas A&M,7,10,64.5625,79.5625
Round of 64,1,8,Houston,Idaho,2,15,62.85294117647059,72.57142857142857
Round of 64,1,9,Arizona,Long Island University,1,16,68.79411764705883,71.11764705882354
Round of 64,1,10,Villanova,Utah State,8,9,70.78125,70.3529411764706
Round of 64,1,11,Wisconsin,High Point,5,12,75.91176470588235,70.26470588235294
Round of 64,1,12,Arkansas,Hawaii,4,13,80.08823529411765,69.71875
Round of 64,1,13,Brigham Young,Texas,6,11,75.32352941176471,76.8125
Round of 64,1,14,Gonzaga,Kennesaw State,3,14,66.0,76.05882352941177
Round of 64,1,15,Miami (FL),Missouri,7,10,71.18181818181819,75.34375
Round of 64,1,16,Purdue,Queens (NC),2,15,70.14285714285714,82.94117647058823
Round of 64,1,17,Duke,Siena,1,16,63.14705882352941,65.67647058823529
Round of 64,1,18,Ohio State,Texas Christian,8,9,72.78787878787878,72.06060606060606
Round of 64,1,19,St. John's (NY),Northern Iowa,5,12,69.97058823529412,61.25714285714286
Round of 64,1,20,Kansas,California Baptist,4,13,69.39393939393939,67.57575757575758
Round of 64,1,21,Louisville,South Florida,6,11,72.18181818181819,75.51515151515152
Round of 64,1,22,Michigan State,North Dakota State,3,14,68.40625,69.58823529411765
Round of 64,1,23,UCLA,UCF,7,10,71.0,78.46875
Round of 64,1,24,Connecticut,Furman,2,15,65.11764705882354,70.5
Round of 64,1,25,Michigan,Howard,1,16,69.20588235294117,67.75757575757575
Round of 64,1,26,Georgia,Saint Louis,8,9,79.15625,69.51515151515152
Round of 64,1,27,Texas Tech,Akron,5,12,72.625,73.5
Round of 64,1,28,Alabama,Hofstra,4,13,83.46875,66.05882352941177
Round of 64,1,29,Tennessee,Miami (OH),6,11,69.36363636363636,75.28125
Round of 64,1,30,Virginia,Wright State,3,14,68.41176470588235,73.44117647058823
Round of 64,1,31,Kentucky,Santa Clara,7,10,73.82352941176471,72.44117647058823
Round of 64,1,32,Iowa State,Tennessee State,2,15,65.1470588235294,73.34375
Round of 32,2,1,Prairie View A&M,Clemson,16,8,76.05714285714286,66.73529411764706
Round of 32,2,2,Vanderbilt,Troy,5,13,75.20588235294117,73.0909090909091
Round of 32,2,3,Virginia Commonwealth,Pennsylvania,11,14,71.47058823529412,73.3103448275862
Round of 32,2,4,Texas A&M,Idaho,10,15,79.5625,72.57142857142857
Round of 32,2,5,Long Island University,Villanova,16,8,71.11764705882354,70.78125
Round of 32,2,6,Wisconsin,Arkansas,5,4,75.91176470588235,80.08823529411765
Round of 32,2,7,Texas,Kennesaw State,11,14,76.8125,76.05882352941177
Round of 32,2,8,Missouri,Queens (NC),10,15,75.34375,82.94117647058823
Round of 32,2,9,Siena,Ohio State,16,8,65.67647058823529,72.78787878787878
Round of 32,2,10,St. John's (NY),Kansas,5,4,69.97058823529412,69.39393939393939
Round of 32,2,11,South Florida,North Dakota State,11,14,75.51515151515152,69.58823529411765
Round of 32,2,12,UCF,Furman,10,15,78.46875,70.5
Round of 32,2,13,Michigan,Georgia,1,8,69.20588235294117,79.15625
Round of 32,2,14,Akron,Alabama,12,4,73.5,83.46875
Round of 32,2,15,Miami (OH),Wright State,11,14,75.28125,73.44117647058823
Round of 32,2,16,Kentucky,Tennessee State,7,15,73.82352941176471,73.34375
Sweet 16,3,1,Prairie View A&M,Vanderbilt,16,5,76.05714285714286,75.20588235294117
Sweet 16,3,2,Pennsylvania,Texas A&M,14,10,73.3103448275862,79.5625
Sweet 16,3,3,Long Island University,Arkansas,16,4,71.11764705882354,80.08823529411765
Sweet 16,3,4,Texas,Queens (NC),11,15,76.8125,82.94117647058823
Sweet 16,3,5,Ohio State,St. John's (NY),8,5,72.78787878787878,69.97058823529412
Sweet 16,3,6,South Florida,UCF,11,10,75.51515151515152,78.46875
Sweet 16,3,7,Georgia,Alabama,8,4,79.15625,83.46875
Sweet 16,3,8,Miami (OH),Kentucky,11,7,75.28125,73.82352941176471
Elite 8,4,1,Prairie View A&M,Texas A&M,16,10,76.05714285714286,79.5625
Elite 8,4,2,Arkansas,Queens (NC),4,15,80.08823529411765,82.94117647058823
Elite 8,4,3,Ohio State,UCF,8,10,72.78787878787878,78.46875
Elite 8,4,4,Alabama,Miami (OH),4,11,83.46875,75.28125
Final 4,5,1,Texas A&M,Queens (NC),10,15,79.5625,82.94117647058823
Final 4,5,2,UCF,Alabama,10,4,78.46875,83.46875
Championship,6,1,Queens (NC),Alabama,15,4,82.94117647058823,83.46875
Champion,7,1,Alabama,---,4,---,83.46875,---
