Round Name,Round,Game,Team1,Team2,Seed1,Seed2,Rating1,Rating2
Round of 64,1,1,Florida,Prairie View A&M,1,16,4.866828434575601,4.592876328487785
Round of 64,1,2,Clemson,Iowa,8,9,4.770724358539581,4.7003555685777645
Round of 64,1,3,Vanderbilt,McNeese,5,12,4.8238159641385705,4.798049982117547
Round of 64,1,4,Nebraska,Troy,4,13,4.747159987724015,4.6879235401185975
Round of 64,1,5,North Carolina,Virginia Commonwealth,6,11,4.785415088375997,4.842830098966409
Round of 64,1,6,Illinois,Pennsylvania,3,14,4.798906570929918,4.714019539973013
Round of 64,1,7,Saint Mary's,Texas A&M,7,10,4.838657495236088,4.700742033550457
Round of 64,1,8,Houston,Idaho,2,15,4.8629325533138825,4.661606978975758
Round of 64,1,9,Arizona,Long Island University,1,16,4.962158700282685,4.646978924263322
Round of 64,1,10,Villanova,Utah State,8,9,4.706677241325784,4.810596523633447
Round of 64,1,11,Wisconsin,High Point,5,12,4.8140804380418825,4.7956457653653946
Round of 64,1,12,Arkansas,Hawaii,4,13,4.873777786884669,4.705565404203016
Round of 64,1,13,Brigham Young,Texas,6,11,4.743476674811758,4.637762379622138
Round of 64,1,14,Gonzaga,Kennesaw State,3,14,4.8661267833013735,4.667676138383231
Round of 64,1,15,Miami (FL),Missouri,7,10,4.796695020166169,4.663707732217424
Round of 64,1,16,Purdue,Queens (NC),2,15,4.883342815650301,4.667446961089852
Round of 64,1,17,Duke,Siena,1,16,4.989353667626082,4.679089867481873
Round of 64,1,18,Ohio State,TCU,8,9,4.788476686044454,0.0
Round of 64,1,19,St. John's (NY),Northern Iowa,5,12,4.897688502542838,4.738707287175398
Round of 64,1,20,Kansas,California Baptist,4,13,4.770208890698528,4.737479706791024
Round of 64,1,21,Louisville,South Florida,6,11,4.767640880115867,4.841104411348867
Round of 64,1,22,Michigan State,North Dakota State,3,14,4.802599127156245,4.721678176464977
Round of 64,1,23,UCLA,UCF,7,10,4.779608543011011,4.675183579296631
Round of 64,1,24,Connecticut,Furman,2,15,4.823566333834744,4.654607120499348
Round of 64,1,25,Michigan,Howard,1,16,4.925844243311008,4.64541899729989
Round of 64,1,26,Georgia,Saint Louis,8,9,4.731887499611987,4.733774678564163
Round of 64,1,27,Texas Tech,Akron,5,12,4.753448662040856,4.805580846538007
Round of 64,1,28,Alabama,Hofstra,4,13,4.763331367792023,4.755952902268026
Round of 64,1,29,Tennessee,Miami (OH),6,11,4.740878168525592,4.7876823486250055
Round of 64,1,30,Virginia,Wright State,3,14,4.898611935834243,4.698609792600236
Round of 64,1,31,Kentucky,Santa Clara,7,10,4.741066066841958,4.795099228771241
Round of 64,1,32,Iowa State,Tennessee State,2,15,4.847290227722692,4.731133541253815
Round of 32,2,1,Florida,Clemson,1,8,4.866828434575601,4.770724358539581
Round of 32,2,2,Vanderbilt,Nebraska,5,4,4.8238159641385705,4.747159987724015
Round of 32,2,3,Virginia Commonwealth,Illinois,11,3,4.842830098966409,4.798906570929918
Round of 32,2,4,Saint Mary's,Houston,7,2,4.838657495236088,4.8629325533138825
Round of 32,2,5,Arizona,Utah State,1,9,4.962158700282685,4.810596523633447
Round of 32,2,6,Wisconsin,Arkansas,5,4,4.8140804380418825,4.873777786884669
Round of 32,2,7,Brigham Young,Gonzaga,6,3,4.743476674811758,4.8661267833013735
Round of 32,2,8,Miami (FL),Purdue,7,2,4.796695020166169,4.883342815650301
Round of 32,2,9,Duke,Ohio State,1,8,4.989353667626082,4.788476686044454
Round of 32,2,10,St. John's (NY),Kansas,5,4,4.897688502542838,4.770208890698528
Round of 32,2,11,South Florida,Michigan State,11,3,4.841104411348867,4.802599127156245
Round of 32,2,12,UCLA,Connecticut,7,2,4.779608543011011,4.823566333834744
Round of 32,2,13,Michigan,Saint Louis,1,9,4.925844243311008,4.733774678564163
Round of 32,2,14,Akron,Alabama,12,4,4.805580846538007,4.763331367792023
Round of 32,2,15,Miami (OH),Virginia,11,3,4.7876823486250055,4.898611935834243
Round of 32,2,16,Santa Clara,Iowa State,10,2,4.795099228771241,4.847290227722692
Sweet 16,3,1,Florida,Vanderbilt,1,5,4.866828434575601,4.8238159641385705
Sweet 16,3,2,Virginia Commonwealth,Houston,11,2,4.842830098966409,4.8629325533138825
Sweet 16,3,3,Arizona,Arkansas,1,4,4.962158700282685,4.873777786884669
Sweet 16,3,4,Gonzaga,Purdue,3,2,4.8661267833013735,4.883342815650301
Sweet 16,3,5,Duke,St. John's (NY),1,5,4.989353667626082,4.897688502542838
Sweet 16,3,6,South Florida,Connecticut,11,2,4.841104411348867,4.823566333834744
Sweet 16,3,7,Michigan,Akron,1,12,4.925844243311008,4.805580846538007
Sweet 16,3,8,Virginia,Iowa State,3,2,4.898611935834243,4.847290227722692
Elite 8,4,1,Florida,Houston,1,2,4.866828434575601,4.8629325533138825
Elite 8,4,2,Arizona,Purdue,1,2,4.962158700282685,4.883342815650301
Elite 8,4,3,Duke,South Florida,1,11,4.989353667626082,4.841104411348867
Elite 8,4,4,Michigan,Virginia,1,3,4.925844243311008,4.898611935834243
Final 4,5,1,Florida,Arizona,1,1,4.866828434575601,4.962158700282685
Final 4,5,2,Duke,Michigan,1,1,4.989353667626082,4.925844243311008
Championship,6,1,Arizona,Duke,1,1,4.962158700282685,4.989353667626082
Champion,7,1,Duke,---,1,---,4.989353667626082,---
