Round Name,Round,Game,Team1,Team2,Seed1,Seed2,Rating1,Rating2
Round of 64,1,1,Florida,Prairie View A&M,1,16,1.3740816509993343,1.3455453813266893
Round of 64,1,2,Clemson,Iowa,8,9,1.3737974532002397,1.370863770812522
Round of 64,1,3,Vanderbilt,McNeese,5,12,1.370119919232188,1.361413308802537
Round of 64,1,4,Nebraska,Troy,4,13,1.379456669302448,1.3539162328831007
Round of 64,1,5,North Carolina,Virginia Commonwealth,6,11,1.3699616071961842,1.3627739127596303
Round of 64,1,6,Illinois,Pennsylvania,3,14,1.3726814037953452,1.3554864864879415
Round of 64,1,7,Saint Mary's,Texas A&M,7,10,1.3682431695553212,1.3697567220414277
Round of 64,1,8,Houston,Idaho,2,15,1.3756452481792882,1.3546655290233574
Round of 64,1,9,Arizona,Long Island University,1,16,1.3745541137680666,1.3544932872900954
Round of 64,1,10,Villanova,Utah State,8,9,1.3718848359646447,1.3687536003390182
Round of 64,1,11,Wisconsin,High Point,5,12,1.372667862358932,1.3629129124087205
Round of 64,1,12,Arkansas,Hawaii,4,13,1.3676767540265202,1.3624703049875335
Round of 64,1,13,Brigham Young,Texas,6,11,1.3742214233805299,1.3704918042947527
Round of 64,1,14,Gonzaga,Kennesaw State,3,14,1.3729103048487061,1.356725869095939
Round of 64,1,15,Miami (FL),Missouri,7,10,1.3703582714733122,1.3713531502185772
Round of 64,1,16,Purdue,Queens (NC),2,15,1.3716917473136254,1.3540755552445005
Round of 64,1,17,Duke,Siena,1,16,1.3716445635598653,1.3533649989743886
Round of 64,1,18,Ohio State,TCU,8,9,1.3703867355566197,0.0
Round of 64,1,19,St. John's (NY),Northern Iowa,5,12,1.3691325943808157,1.357336939714426
Round of 64,1,20,Kansas,California Baptist,4,13,1.3754953127844032,1.3607629557504979
Round of 64,1,21,Louisville,South Florida,6,11,1.3722148348281276,1.359939904725868
Round of 64,1,22,Michigan State,North Dakota State,3,14,1.3718802563093577,1.3587756590679931
Round of 64,1,23,UCLA,UCF,7,10,1.3703052220796939,1.3762948663351229
Round of 64,1,24,Connecticut,Furman,2,15,1.3748265722293243,1.3569072223106426
Round of 64,1,25,Michigan,Howard,1,16,1.377556752248708,1.351961201777526
Round of 64,1,26,Georgia,Saint Louis,8,9,1.367498818592188,1.3750939457214453
Round of 64,1,27,Texas Tech,Akron,5,12,1.3767580548595202,1.3626660249102123
Round of 64,1,28,Alabama,Hofstra,4,13,1.3706236771183968,1.355809906992348
Round of 64,1,29,Tennessee,Miami (OH),6,11,1.3735663222941417,1.3640326170240602
Round of 64,1,30,Virginia,Wright State,3,14,1.3725107163838923,1.3564054802588734
Round of 64,1,31,Kentucky,Santa Clara,7,10,1.3731492659156006,1.372069459393522
Round of 64,1,32,Iowa State,Tennessee State,2,15,1.3749885228585774,1.3484180821363263
Round of 32,2,1,Florida,Clemson,1,8,1.3740816509993343,1.3737974532002397
Round of 32,2,2,Vanderbilt,Nebraska,5,4,1.370119919232188,1.379456669302448
Round of 32,2,3,North Carolina,Illinois,6,3,1.3699616071961842,1.3726814037953452
Round of 32,2,4,Texas A&M,Houston,10,2,1.3697567220414277,1.3756452481792882
Round of 32,2,5,Arizona,Villanova,1,8,1.3745541137680666,1.3718848359646447
Round of 32,2,6,Wisconsin,Arkansas,5,4,1.372667862358932,1.3676767540265202
Round of 32,2,7,Brigham Young,Gonzaga,6,3,1.3742214233805299,1.3729103048487061
Round of 32,2,8,Missouri,Purdue,10,2,1.3713531502185772,1.3716917473136254
Round of 32,2,9,Duke,Ohio State,1,8,1.3716445635598653,1.3703867355566197
Round of 32,2,10,St. John's (NY),Kansas,5,4,1.3691325943808157,1.3754953127844032
Round of 32,2,11,Louisville,Michigan State,6,3,1.3722148348281276,1.3718802563093577
Round of 32,2,12,UCF,Connecticut,10,2,1.3762948663351229,1.3748265722293243
Round of 32,2,13,Michigan,Saint Louis,1,9,1.377556752248708,1.3750939457214453
Round of 32,2,14,Texas Tech,Alabama,5,4,1.3767580548595202,1.3706236771183968
Round of 32,2,15,Tennessee,Virginia,6,3,1.3735663222941417,1.3725107163838923
Round of 32,2,16,Kentucky,Iowa State,7,2,1.3731492659156006,1.3749885228585774
Sweet 16,3,1,Florida,Nebraska,1,4,1.3740816509993343,1.379456669302448
Sweet 16,3,2,Illinois,Houston,3,2,1.3726814037953452,1.3756452481792882
Sweet 16,3,3,Arizona,Wisconsin,1,5,1.3745541137680666,1.372667862358932
Sweet 16,3,4,Brigham Young,Purdue,6,2,1.3742214233805299,1.3716917473136254
Sweet 16,3,5,Duke,Kansas,1,4,1.3716445635598653,1.3754953127844032
Sweet 16,3,6,Louisville,UCF,6,10,1.3722148348281276,1.3762948663351229
Sweet 16,3,7,Michigan,Texas Tech,1,5,1.377556752248708,1.3767580548595202
Sweet 16,3,8,Tennessee,Iowa State,6,2,1.3735663222941417,1.3749885228585774
Elite 8,4,1,Nebraska,Houston,4,2,1.379456669302448,1.3756452481792882
Elite 8,4,2,Arizona,Brigham Young,1,6,1.3745541137680666,1.3742214233805299
Elite 8,4,3,Kansas,UCF,4,10,1.3754953127844032,1.3762948663351229
Elite 8,4,4,Michigan,Iowa State,1,2,1.377556752248708,1.3749885228585774
Final 4,5,1,Nebraska,Arizona,4,1,1.379456669302448,1.3745541137680666
Final 4,5,2,UCF,Michigan,10,1,1.3762948663351229,1.377556752248708
Championship,6,1,Nebraska,Michigan,4,1,1.379456669302448,1.377556752248708
Champion,7,1,Nebraska,---,4,---,1.379456669302448,---
