Round,Conference,Game,Team1,Team2,Score1,Score2
1,East,1,Duke,Siena,,
1,East,2,Ohio State,Texas Christian,,
1,East,3,St. John's (NY),Northern Iowa,,
1,East,4,Kansas,California Baptist,,
1,East,5,Louisville,South Florida,,
1,East,6,Michigan State,North Dakota State,,
1,East,7,UCLA,UCF,,
1,East,8,Connecticut,Furman,,
1,South,9,Florida,Prairie View A&M,,
1,South,10,Clemson,Iowa,,
1,South,11,Vanderbilt,McNeese,,
1,South,12,Nebraska,Troy,,
1,South,13,North Carolina,Virginia Commonwealth,,
1,South,14,Illinois,Pennsylvania,,
1,South,15,Saint Mary's,Texas A&M,,
1,South,16,Houston,Idaho,,
1,West,17,Arizona,Long Island University,,
1,West,18,Villanova,Utah State,,
1,West,19,Wisconsin,High Point,,
1,West,20,Arkansas,Hawaii,,
1,West,21,Brigham Young,Texas,,
1,West,22,Gonzaga,Kennesaw State,,
1,West,23,Miami (FL),Missouri,,
1,West,24,Purdue,Queens (NC),,
1,Midwest,25,Michigan,Howard,,
1,Midwest,26,Georgia,Saint Louis,,
1,Midwest,27,Texas Tech,Akron,,
1,Midwest,28,Alabama,Hofstra,,
1,Midwest,29,Tennessee,Miami (OH),,
1,Midwest,30,Virginia,Wright State,,
1,Midwest,31,Kentucky,Santa Clara,,
1,Midwest,32,Iowa State,Tennessee State,,
2,East,1,,,,
2,East,2,,,,
2,East,3,,,,
2,East,4,,,,
2,South,5,,,,
2,South,6,,,,
2,South,7,,,,
2,South,8,,,,
2,West,9,,,,
2,West,10,,,,
2,West,11,,,,
2,West,12,,,,
2,Midwest,13,,,,
2,Midwest,14,,,,
2,Midwest,15,,,,
2,Midwest,16,,,,
3,East,1,,,,
3,East,2,,,,
3,South,3,,,,
3,South,4,,,,
3,West,5,,,,
3,West,6,,,,
3,Midwest,7,,,,
3,Midwest,8,,,,
4,East,1,,,,
4,South,2,,,,
4,West,3,,,,
4,Midwest,4,,,,
5,Final Four,1,,,,
5,Final Four,2,,,,
6,Championship,1,,,,
7,Champion,1,,,,
