Round,Game,Team1,Team2,Rating1,Rating2
1,1,Gonzaga,Georgia State,2295.949021272769,2012.011973493243
1,2,Boise State,Memphis,2137.9940986672063,2050.488648683621
1,3,Connecticut,New Mexico State,2075.2819446429935,2154.9899958493374
1,4,Arkansas,Vermont,2086.5055563778014,2081.353413014895
1,5,Alabama,Notre Dame,1733.9122243159275,1857.9931103329766
1,6,Texas Tech,Montana State,2065.8810388902816,2019.6118053810135
1,7,Michigan State,Davidson,1927.1225466192914,2013.7242753548794
1,8,Duke,Cal State Fullerton,2031.4450794870415,1796.4816519515186
1,9,Baylor,Norfolk State,2131.9786750908374,1838.2582106448172
1,10,North Carolina,Marquette,2023.1940419884966,1794.8303070862337
1,11,Saint Mary's (CA),Indiana,2111.7411880452396,1905.2749630684125
1,12,UCLA,Akron,2071.590789440404,2076.5189101491155
1,13,Texas,Virginia Tech,1845.1556242635718,2203.48388536777
1,14,Purdue,Yale,2066.4990344219395,1726.2919622834197
1,15,Murray State,San Francisco,2221.337400836309,1963.3678110281164
1,16,Kentucky,Saint Peter's,2156.356100302143,1899.5812500492418
1,17,Arizona,Wright State,2252.358371757193,1891.6559003380557
1,18,Seton Hall,TCU,1919.3966588605356,1843.8785601722425
1,19,Houston,UAB,2207.266947397744,2112.86277314524
1,20,Illinois,Chattanooga,2047.672241415126,2012.4404425077275
1,21,Colorado State,Michigan,2015.0095055087377,1904.8946458361897
1,22,Tennessee,Longwood,2391.1632585965226,2010.241961284187
1,23,Ohio State,Loyola (IL),1735.131631508941,2144.727373739319
1,24,Villanova,Delaware,2261.411055935394,1909.2407136773013
1,25,Kansas,Texas Southern,2217.8556301993913,1720.681418787719
1,26,San Diego State,Creighton,2101.781163919477,2055.2360174921378
1,27,Iowa,Richmond,2258.7951624872017,2032.5005930057866
1,28,Providence,South Dakota State,1940.3641408090064,2185.257559563381
1,29,Louisiana State,Iowa State,1857.2634559557468,1719.9046990590932
1,30,Wisconsin,Colgate,2009.3760813367937,1963.000999301884
1,31,Southern California,Miami (FL),1871.2969740605834,1931.5219742539907
1,32,Auburn,Jacksonville State,2082.741659299215,1804.03752024849
2,1,Gonzaga,Boise State,2295.949021272769,2137.9940986672063
2,2,New Mexico State,Arkansas,2154.9899958493374,2086.5055563778014
2,3,Notre Dame,Texas Tech,1857.9931103329766,2065.8810388902816
2,4,Davidson,Duke,2013.7242753548794,2031.4450794870415
2,5,Baylor,North Carolina,2131.9786750908374,2023.1940419884966
2,6,Saint Mary's (CA),Akron,2111.7411880452396,2076.5189101491155
2,7,Virginia Tech,Purdue,2203.48388536777,2066.4990344219395
2,8,Murray State,Kentucky,2221.337400836309,2156.356100302143
2,9,Arizona,Seton Hall,2252.358371757193,1919.3966588605356
2,10,Houston,Illinois,2207.266947397744,2047.672241415126
2,11,Colorado State,Tennessee,2015.0095055087377,2391.1632585965226
2,12,Loyola (IL),Villanova,2144.727373739319,2261.411055935394
2,13,Kansas,San Diego State,2217.8556301993913,2101.781163919477
2,14,Iowa,South Dakota State,2258.7951624872017,2185.257559563381
2,15,Louisiana State,Wisconsin,1857.2634559557468,2009.3760813367937
2,16,Miami (FL),Auburn,1931.5219742539907,2082.741659299215
3,1,Gonzaga,New Mexico State,2295.949021272769,2154.9899958493374
3,2,Texas Tech,Duke,2065.8810388902816,2031.4450794870415
3,3,Baylor,Saint Mary's (CA),2131.9786750908374,2111.7411880452396
3,4,Virginia Tech,Murray State,2203.48388536777,2221.337400836309
3,5,Arizona,Houston,2252.358371757193,2207.266947397744
3,6,Tennessee,Villanova,2391.1632585965226,2261.411055935394
3,7,Kansas,Iowa,2217.8556301993913,2258.7951624872017
3,8,Wisconsin,Auburn,2009.3760813367937,2082.741659299215
4,1,Gonzaga,Texas Tech,2295.949021272769,2065.8810388902816
4,2,Baylor,Murray State,2131.9786750908374,2221.337400836309
4,3,Arizona,Tennessee,2252.358371757193,2391.1632585965226
4,4,Iowa,Auburn,2258.7951624872017,2082.741659299215
5,1,Gonzaga,Murray State,2295.949021272769,2221.337400836309
5,2,Tennessee,Iowa,2391.1632585965226,2258.7951624872017
6,1,Gonzaga,Tennessee,2295.949021272769,2391.1632585965226
7,1,Tennessee,No Value,2391.1632585965226,No Value
