Round,Game,Team1,Team2,Rating1,Rating2
1,1,Gonzaga,Georgia State,1750.88965545254,1622.2799271350484
1,2,Boise State,Memphis,1728.192138358823,1659.9139400159365
1,3,Connecticut,New Mexico State,1656.5237196094154,1699.5411767588316
1,4,Arkansas,Vermont,1690.7211375312343,1693.955311334492
1,5,Alabama,Notre Dame,1577.1990615741229,1627.5351110111892
1,6,Texas Tech,Montana State,1674.3740342591254,1690.784504990772
1,7,Michigan State,Davidson,1613.610141291873,1687.5540053737582
1,8,Duke,Cal State Fullerton,1707.4285277103472,1617.5879817537289
1,9,Baylor,Norfolk State,1705.0931033341562,1637.69983219062
1,10,North Carolina,Marquette,1660.9073921712995,1584.0641728312323
1,11,Saint Mary's (CA),Indiana,1697.329273722873,1579.2804143410508
1,12,UCLA,Akron,1686.3147672482094,1648.2307363231255
1,13,Texas,Virginia Tech,1614.360192685262,1658.3250357039958
1,14,Purdue,Yale,1694.0097367681171,1597.1741174537667
1,15,Murray State,San Francisco,1759.837341366232,1638.877633240232
1,16,Kentucky,Saint Peter's,1705.5465709677972,1602.0338226062813
1,17,Arizona,Wright State,1773.6723073484252,1594.9565047311225
1,18,Seton Hall,TCU,1622.0735833649667,1598.360536023314
1,19,Houston,UAB,1733.2074059260306,1699.6854131637388
1,20,Illinois,Chattanooga,1655.0299937335599,1691.7764549663816
1,21,Colorado State,Michigan,1706.4921559240188,1579.063733724092
1,22,Tennessee,Longwood,1741.5935811593747,1691.828063515105
1,23,Ohio State,Loyola (IL),1575.1004485294159,1674.9074968214416
1,24,Villanova,Delaware,1734.0173214986141,1599.810398190039
1,25,Kansas,Texas Southern,1739.3946761989237,1560.0504706354202
1,26,San Diego State,Creighton,1679.064641245496,1639.725334619047
1,27,Iowa,Richmond,1692.1870017638844,1645.2725037998305
1,28,Providence,South Dakota State,1698.3690209967874,1740.515714586241
1,29,Louisiana State,Iowa State,1598.7698423515858,1573.1233049365032
1,30,Wisconsin,Colgate,1681.033402868604,1644.8256135521
1,31,Southern California,Miami (FL),1664.4650551495267,1630.215466709153
1,32,Auburn,Jacksonville State,1704.57557086882,1604.3295241261942
2,1,Gonzaga,Boise State,1750.88965545254,1728.192138358823
2,2,New Mexico State,Vermont,1699.5411767588316,1693.955311334492
2,3,Notre Dame,Montana State,1627.5351110111892,1690.784504990772
2,4,Davidson,Duke,1687.5540053737582,1707.4285277103472
2,5,Baylor,North Carolina,1705.0931033341562,1660.9073921712995
2,6,Saint Mary's (CA),UCLA,1697.329273722873,1686.3147672482094
2,7,Virginia Tech,Purdue,1658.3250357039958,1694.0097367681171
2,8,Murray State,Kentucky,1759.837341366232,1705.5465709677972
2,9,Arizona,Seton Hall,1773.6723073484252,1622.0735833649667
2,10,Houston,Chattanooga,1733.2074059260306,1691.7764549663816
2,11,Colorado State,Tennessee,1706.4921559240188,1741.5935811593747
2,12,Loyola (IL),Villanova,1674.9074968214416,1734.0173214986141
2,13,Kansas,San Diego State,1739.3946761989237,1679.064641245496
2,14,Iowa,South Dakota State,1692.1870017638844,1740.515714586241
2,15,Louisiana State,Wisconsin,1598.7698423515858,1681.033402868604
2,16,Southern California,Auburn,1664.4650551495267,1704.57557086882
3,1,Gonzaga,New Mexico State,1750.88965545254,1699.5411767588316
3,2,Montana State,Duke,1690.784504990772,1707.4285277103472
3,3,Baylor,Saint Mary's (CA),1705.0931033341562,1697.329273722873
3,4,Purdue,Murray State,1694.0097367681171,1759.837341366232
3,5,Arizona,Houston,1773.6723073484252,1733.2074059260306
3,6,Tennessee,Villanova,1741.5935811593747,1734.0173214986141
3,7,Kansas,South Dakota State,1739.3946761989237,1740.515714586241
3,8,Wisconsin,Auburn,1681.033402868604,1704.57557086882
4,1,Gonzaga,Duke,1750.88965545254,1707.4285277103472
4,2,Baylor,Murray State,1705.0931033341562,1759.837341366232
4,3,Arizona,Tennessee,1773.6723073484252,1741.5935811593747
4,4,South Dakota State,Auburn,1740.515714586241,1704.57557086882
5,1,Gonzaga,Murray State,1750.88965545254,1759.837341366232
5,2,Arizona,South Dakota State,1773.6723073484252,1740.515714586241
6,1,Murray State,Arizona,1759.837341366232,1773.6723073484252
7,1,Arizona,No Value,1773.6723073484252,No Value
