Round,Game,Team1,Team2,Rating1,Rating2
1,1,Alabama,Texas A&M-Corpus Christi,4.937189269629702,3.699279002280408
1,2,Maryland,West Virginia,3.9437747447131892,4.132689163880701
1,3,San Diego State,College of Charleston,4.711831433032744,4.452766177277853
1,4,Virginia,Furman,4.390160077929867,4.180223763893669
1,5,Creighton,NC State,4.087929727016295,4.007985089942218
1,6,Baylor,UC Santa Barbara,4.175518304583028,4.0969747745516445
1,7,Missouri,Utah State,4.220288460812265,4.504497127192918
1,8,Arizona,Princeton,4.655137098468715,3.986074328003013
1,9,Purdue,Fairleigh Dickinson-Florham,4.649964546825425,1.2705628448390334
1,10,Memphis,Florida Atlantic,4.600688476777574,4.7452337519850625
1,11,Duke,Oral Roberts,4.659838136996654,4.518033297335467
1,12,Tennessee,Louisiana,4.183133701804863,4.212818222121545
1,13,Kentucky,Providence,4.201477559841599,3.7953487388457825
1,14,Kansas State,Montana State,4.165895910457632,4.01817175471195
1,15,Michigan State,Southern California,4.000366363083608,4.063446832986863
1,16,Marquette,Vermont,4.692176368913401,4.027733706198744
1,17,Houston,Northern Kentucky,4.860717396589209,3.755155561812536
1,18,Iowa,Auburn,3.889724515251925,4.012849603501783
1,19,Miami (FL),Drake,4.385032994580255,4.4235957984756125
1,20,Indiana,Kent State,4.152446895463848,4.365966623882002
1,21,Iowa State,Pittsburgh,4.0208512176915585,3.9313979474693617
1,22,Xavier,Kennesaw State,4.343930090591053,4.181594862252354
1,23,Texas A&M,Penn State,4.489655178340526,4.08574000789214
1,24,Texas,Colgate,4.747839374372459,4.036307549379797
1,25,Kansas,Howard,4.69436944015128,3.650508667879186
1,26,Arkansas,Illinois,4.024700821744385,3.866801297139712
1,27,Saint Mary's (CA),Virginia Commonwealth,4.4973545258592456,4.505067852172587
1,28,Connecticut,Iona,4.455297472139337,4.164433872099427
1,29,TCU,Arizona State,4.0861942954840815,3.9118954689559464
1,30,Gonzaga,Grand Canyon,4.879351534773514,4.072972714637354
1,31,Northwestern,Boise State,3.9702123553385102,4.24353897818139
1,32,UCLA,UNC Asheville,4.795948213794286,4.038246784808481
2,1,Alabama,West Virginia,4.937189269629702,4.132689163880701
2,2,San Diego State,Virginia,4.711831433032744,4.390160077929867
2,3,Creighton,Baylor,4.087929727016295,4.175518304583028
2,4,Utah State,Arizona,4.504497127192918,4.655137098468715
2,5,Purdue,Florida Atlantic,4.649964546825425,4.7452337519850625
2,6,Duke,Louisiana,4.659838136996654,4.212818222121545
2,7,Kentucky,Kansas State,4.201477559841599,4.165895910457632
2,8,Southern California,Marquette,4.063446832986863,4.692176368913401
2,9,Houston,Auburn,4.860717396589209,4.012849603501783
2,10,Drake,Kent State,4.4235957984756125,4.365966623882002
2,11,Iowa State,Xavier,4.0208512176915585,4.343930090591053
2,12,Texas A&M,Texas,4.489655178340526,4.747839374372459
2,13,Kansas,Arkansas,4.69436944015128,4.024700821744385
2,14,Virginia Commonwealth,Connecticut,4.505067852172587,4.455297472139337
2,15,TCU,Gonzaga,4.0861942954840815,4.879351534773514
2,16,Boise State,UCLA,4.24353897818139,4.795948213794286
3,1,Alabama,San Diego State,4.937189269629702,4.711831433032744
3,2,Baylor,Arizona,4.175518304583028,4.655137098468715
3,3,Florida Atlantic,Duke,4.7452337519850625,4.659838136996654
3,4,Kentucky,Marquette,4.201477559841599,4.692176368913401
3,5,Houston,Drake,4.860717396589209,4.4235957984756125
3,6,Xavier,Texas,4.343930090591053,4.747839374372459
3,7,Kansas,Virginia Commonwealth,4.69436944015128,4.505067852172587
3,8,Gonzaga,UCLA,4.879351534773514,4.795948213794286
4,1,Alabama,Arizona,4.937189269629702,4.655137098468715
4,2,Florida Atlantic,Marquette,4.7452337519850625,4.692176368913401
4,3,Houston,Texas,4.860717396589209,4.747839374372459
4,4,Kansas,Gonzaga,4.69436944015128,4.879351534773514
5,1,Alabama,Florida Atlantic,4.937189269629702,4.7452337519850625
5,2,Houston,Gonzaga,4.860717396589209,4.879351534773514
6,1,Alabama,Gonzaga,4.937189269629702,4.879351534773514
7,1,Alabama,No Value,4.937189269629702,No Value
