Round,Game,Team1,Team2,Rating1,Rating2
1,1,Alabama,Texas A&M-Corpus Christi,43.86795453433718,17.036885303928646
1,2,Maryland,West Virginia,35.24630168093096,36.59876693414293
1,3,San Diego State,College of Charleston,35.11439395932719,28.69488174070287
1,4,Virginia,Furman,33.66018915908877,26.099311367734778
1,5,Creighton,NC State,37.800063508261964,32.69072158291152
1,6,Baylor,UC Santa Barbara,38.16397298870124,23.1979225579495
1,7,Missouri,Utah State,32.26395055286607,35.211235058764984
1,8,Arizona,Princeton,40.12122497471096,23.03493818633054
1,9,Purdue,Fairleigh Dickinson-Florham,39.517357888987874,-39.61654519550526
1,10,Memphis,Florida Atlantic,35.08332800722364,33.93756847846971
1,11,Duke,Oral Roberts,35.652229313446185,29.8048663115634
1,12,Tennessee,Louisiana,42.01447213761528,24.387560187852042
1,13,Kentucky,Providence,35.30418064702073,32.869319838198855
1,14,Kansas State,Montana State,36.39418510471826,22.90051210700422
1,15,Michigan State,Southern California,34.20235255131452,33.79701160462124
1,16,Marquette,Vermont,37.3902457584938,21.072337892069275
1,17,Houston,Northern Kentucky,43.464871977772546,18.830889440383235
1,18,Iowa,Auburn,34.75160415644982,35.001909398115785
1,19,Miami (FL),Drake,32.326519527121654,28.850247902465377
1,20,Indiana,Kent State,35.74692704934773,28.36849643737073
1,21,Iowa State,Pittsburgh,36.59163604646489,30.032609563272633
1,22,Xavier,Kennesaw State,36.511270301882654,20.465144179568384
1,23,Texas A&M,Penn State,34.875809242393196,32.91073952628035
1,24,Texas,Colgate,41.40056129747748,22.73208501537831
1,25,Kansas,Howard,39.89485757726141,15.54182138149826
1,26,Arkansas,Illinois,36.637926174322395,35.532705585306275
1,27,Saint Mary's (CA),Virginia Commonwealth,38.24698010307948,30.241495519639322
1,28,Connecticut,Iona,40.95785346582446,27.79714675506537
1,29,TCU,Arizona State,36.28304434030759,31.187066747968046
1,30,Gonzaga,Grand Canyon,40.83543721992475,25.566328550589347
1,31,Northwestern,Boise State,33.67089630482692,33.024580562351005
1,32,UCLA,UNC Asheville,42.698666912352984,18.541435302662492
2,1,Alabama,West Virginia,43.86795453433718,36.59876693414293
2,2,San Diego State,Virginia,35.11439395932719,33.66018915908877
2,3,Creighton,Baylor,37.800063508261964,38.16397298870124
2,4,Utah State,Arizona,35.211235058764984,40.12122497471096
2,5,Purdue,Memphis,39.517357888987874,35.08332800722364
2,6,Duke,Tennessee,35.652229313446185,42.01447213761528
2,7,Kentucky,Kansas State,35.30418064702073,36.39418510471826
2,8,Michigan State,Marquette,34.20235255131452,37.3902457584938
2,9,Houston,Auburn,43.464871977772546,35.001909398115785
2,10,Miami (FL),Indiana,32.326519527121654,35.74692704934773
2,11,Iowa State,Xavier,36.59163604646489,36.511270301882654
2,12,Texas A&M,Texas,34.875809242393196,41.40056129747748
2,13,Kansas,Arkansas,39.89485757726141,36.637926174322395
2,14,Saint Mary's (CA),Connecticut,38.24698010307948,40.95785346582446
2,15,TCU,Gonzaga,36.28304434030759,40.83543721992475
2,16,Northwestern,UCLA,33.67089630482692,42.698666912352984
3,1,Alabama,San Diego State,43.86795453433718,35.11439395932719
3,2,Baylor,Arizona,38.16397298870124,40.12122497471096
3,3,Purdue,Tennessee,39.517357888987874,42.01447213761528
3,4,Kansas State,Marquette,36.39418510471826,37.3902457584938
3,5,Houston,Indiana,43.464871977772546,35.74692704934773
3,6,Iowa State,Texas,36.59163604646489,41.40056129747748
3,7,Kansas,Connecticut,39.89485757726141,40.95785346582446
3,8,Gonzaga,UCLA,40.83543721992475,42.698666912352984
4,1,Alabama,Arizona,43.86795453433718,40.12122497471096
4,2,Tennessee,Marquette,42.01447213761528,37.3902457584938
4,3,Houston,Texas,43.464871977772546,41.40056129747748
4,4,Connecticut,UCLA,40.95785346582446,42.698666912352984
5,1,Alabama,Tennessee,43.86795453433718,42.01447213761528
5,2,Houston,UCLA,43.464871977772546,42.698666912352984
6,1,Alabama,Houston,43.86795453433718,43.464871977772546
7,1,Alabama,No Value,43.86795453433718,No Value
