Round,Game,Team1,Team2,Rating1,Rating2
1,1,Connecticut,Stetson,1.6582727648550126,0.8641664272819055
1,2,Florida Atlantic,Northwestern,1.2052950002598914,1.3439403533587415
1,3,San Diego State,UAB,1.431763291921557,1.1190148501876318
1,4,Auburn,Yale,1.5545750477919953,1.052809926664822
1,5,Brigham Young,Duquesne,1.3885690782683797,1.28734854195935
1,6,Illinois,Morehead State,1.5236159509476184,1.0276615827881859
1,7,Washington State,Drake,1.397545218755369,1.450717059680764
1,8,Iowa State,South Dakota State,1.6797560656735824,0.8859082151505354
1,9,North Carolina,Wagner,1.5006794289263503,0.6552147636550865
1,10,Mississippi State,Michigan State,1.462512295277921,1.4516891105498904
1,11,Saint Mary's (CA),Grand Canyon,1.4797785228452147,1.2654559721604282
1,12,Alabama,College of Charleston,1.4268458755872344,1.115961322249483
1,13,Clemson,New Mexico,1.2819597801119305,1.4491436367280448
1,14,Baylor,Colgate,1.5231920286239071,0.8919819905261396
1,15,Dayton,Nevada,1.3340101533143809,1.4378688544566685
1,16,Arizona,Long Beach State,1.44410589099454,0.9249340578654677
1,17,Houston,Longwood,1.7129383444074202,0.9003690409159395
1,18,Nebraska,Texas A&M,1.4501765173604952,1.335769134777794
1,19,Wisconsin,James Madison,1.4497944073956308,1.1989420160837754
1,20,Duke,Vermont,1.4008780081269077,1.1392610606371956
1,21,Texas Tech,NC State,1.5469120995114145,1.4237844341056256
1,22,Kentucky,Oakland,1.4166315424259015,0.9754577492908258
1,23,Florida,Colorado,1.515787977357065,1.363167514251997
1,24,Marquette,Western Kentucky,1.6076471498705236,0.9676233993949048
1,25,Purdue,Grambling,1.6507558061606764,0.7581415345666823
1,26,Utah State,TCU,1.4488519495756322,1.447185194496958
1,27,Gonzaga,McNeese State,1.4368101211500381,1.0830734758184024
1,28,Kansas,Samford,1.390387821398366,1.1505482796555817
1,29,South Carolina,Oregon,1.5418671202040684,1.3912525819261443
1,30,Creighton,Akron,1.4017442380715222,1.023786023373241
1,31,Texas,Colorado State,1.283291079573195,1.3979997793305567
1,32,Tennessee,Saint Peter's,1.4950395438352442,0.8243119267929696
2,1,Connecticut,Northwestern,1.6582727648550126,1.3439403533587415
2,2,San Diego State,Auburn,1.431763291921557,1.5545750477919953
2,3,Brigham Young,Illinois,1.3885690782683797,1.5236159509476184
2,4,Drake,Iowa State,1.450717059680764,1.6797560656735824
2,5,North Carolina,Mississippi State,1.5006794289263503,1.462512295277921
2,6,Saint Mary's (CA),Alabama,1.4797785228452147,1.4268458755872344
2,7,New Mexico,Baylor,1.4491436367280448,1.5231920286239071
2,8,Nevada,Arizona,1.4378688544566685,1.44410589099454
2,9,Houston,Nebraska,1.7129383444074202,1.4501765173604952
2,10,Wisconsin,Duke,1.4497944073956308,1.4008780081269077
2,11,Texas Tech,Kentucky,1.5469120995114145,1.4166315424259015
2,12,Florida,Marquette,1.515787977357065,1.6076471498705236
2,13,Purdue,Utah State,1.6507558061606764,1.4488519495756322
2,14,Gonzaga,Kansas,1.4368101211500381,1.390387821398366
2,15,South Carolina,Creighton,1.5418671202040684,1.4017442380715222
2,16,Colorado State,Tennessee,1.3979997793305567,1.4950395438352442
3,1,Connecticut,Auburn,1.6582727648550126,1.5545750477919953
3,2,Illinois,Iowa State,1.5236159509476184,1.6797560656735824
3,3,North Carolina,Saint Mary's (CA),1.5006794289263503,1.4797785228452147
3,4,Baylor,Arizona,1.5231920286239071,1.44410589099454
3,5,Houston,Wisconsin,1.7129383444074202,1.4497944073956308
3,6,Texas Tech,Marquette,1.5469120995114145,1.6076471498705236
3,7,Purdue,Gonzaga,1.6507558061606764,1.4368101211500381
3,8,South Carolina,Tennessee,1.5418671202040684,1.4950395438352442
4,1,Connecticut,Iowa State,1.6582727648550126,1.6797560656735824
4,2,North Carolina,Baylor,1.5006794289263503,1.5231920286239071
4,3,Houston,Marquette,1.7129383444074202,1.6076471498705236
4,4,Purdue,South Carolina,1.6507558061606764,1.5418671202040684
5,1,Iowa State,Baylor,1.6797560656735824,1.5231920286239071
5,2,Houston,Purdue,1.7129383444074202,1.6507558061606764
6,1,Iowa State,Houston,1.6797560656735824,1.7129383444074202
7,1,Houston,No Value,1.7129383444074202,No Value
